SC_type,AB_compound,Def_site,Impuirty_atom,0/-1 NN,0/-1 Error,0/-1 DFT,-2/-3 NN,-2/-3 Error,-2/-3 DFT,-1/-2 NN,-1/-2 Error,-1/-2 DFT,+3/+2 NN,+3/+2 Error,+3/+2 DFT,+2/+1 NN,+2/+1 Error,+2/+1 DFT,+1/0 NN,+1/0 Error,+1/0 DFT
II-VI,CdO,M_i_A,O,0.5511608012020588,0.07704610011958639,0.5500000000000004,1.9776017993688584,0.05627215882900019,1.8599999999999999,1.3670539140701294,0.05266197741881502,1.229999999999999,-0.8651558756828308,0.055634602658473545,-0.8500000000000005,-0.4618988260626793,0.05016233160176587,-0.4499999999999996,-0.1028956675902009,0.06773843809541466,-0.01000000000000012
II-VI,CdO,M_i_A,Pb,1.9113745003938676,0.05649718617947713,2.0273370000000015,2.6388365268707275,0.052304329291491015,2.7768659999999987,2.276231074333191,0.060029067568989784,2.412627999999999,-0.3091482035815716,0.08405663537477584,-0.20585800000000004,0.8611654311418533,0.0799124479359347,0.7690540000000003,1.441387352347374,0.05084767226071368,1.3210940000000007
II-VI,CdO,M_i_A,Si,1.7726445138454436,0.05410229218240252,1.810187999999998,2.3051657557487486,0.05837921574468425,1.8939069999999991,2.060787281394005,0.05774977414690961,1.8939069999999991,0.8492113649845123,0.07754964647375476,1.2020830000000011,1.1552792578935622,0.06825518167372624,1.2020830000000011,1.4306720852851869,0.061904945191513024,1.4059079999999986
II-VI,CdO,M_i_A,Ta,1.9538951963186264,0.04802734522822696,1.9233439999999997,2.609920060634613,0.05903803855991378,2.9190799999999975,2.3238657474517823,0.052834611610974205,2.586033999999999,0.7979234099388123,0.09092403435567357,0.8824929999999999,1.210547137260437,0.06930188161676536,1.2152570000000007,1.559235578775406,0.0528628586012774,1.6168580000000001
II-VI,CdO,M_i_A,Tc,1.833178636431694,0.044442957169681434,2.216269999999999,2.5732743978500365,0.047664669832553415,2.6958779999999973,2.1988998353481293,0.04289197900330079,1.7819119999999995,-0.1586789350170875,0.10015981436654822,-0.3697429999999998,0.7955304205417633,0.0884133778056956,1.0258879999999997,1.362984848022461,0.05882905783301844,1.4238819999999994
II-VI,CdO,M_i_B,Br,0.893086351454258,0.0813381226372967,0.9532899999999997,2.346063417196274,0.06713908580051745,2.290256,1.8187985718250275,0.06712591135566014,1.6670050000000014,-0.7137376591563225,0.05226649134396626,-0.7487740000000003,-0.23195639662444592,0.06954381122169567,-0.1996450000000001,0.2685731463134289,0.07746566196161649,0.404114
II-VI,CdO,M_i_B,Cd,1.8162658035755157,0.05164095989910162,1.7999999999999985,2.684299886226654,0.0528705195575633,2.6500000000000017,2.2654223918914793,0.05003460018962665,2.27,-0.7401645079255104,0.0422424041956945,-0.7699999999999997,0.44506522342562677,0.08452742687075422,0.30000000000000016,1.116510745882988,0.06960317131160025,0.9600000000000006
II-VI,CdO,M_i_B,Mg,1.7718271046876908,0.07033937101977708,1.7957419999999993,2.667638921737671,0.059976717649911374,2.628423999999999,2.232742154598236,0.07136357965708429,2.212091999999999,-0.7763325095176696,0.06808208173698298,-0.8468519999999993,0.34601082899607716,0.14615748248537547,0.2634500000000001,1.0346838697791099,0.10072157786649726,0.9415100000000004
II-VI,CdO,M_i_B,O,0.5563828326761723,0.08004351337836633,0.6999999999999995,1.9970667958259583,0.06305289784566216,2.0600000000000014,1.374617525935173,0.050735610715136395,1.6800000000000002,-0.8571578562259674,0.056020255210365445,-0.95,-0.4574436657130718,0.05296363198008307,-0.5599999999999998,-0.0970877582207322,0.06552906336142685,-0.16999999999999998
II-VI,CdO,M_i_B,Sn,1.8676505446434022,0.044425092585910424,1.9365560000000006,2.588835543394089,0.05016255814584994,2.9045330000000003,2.2424070239067078,0.048076151621478255,2.3965830000000024,0.02901482164452318,0.08689944272739734,0.19346299999999972,0.8993439435958862,0.07127250222346414,0.9669589999999999,1.4382754623889924,0.043712228455847456,1.3677339999999991
II-VI,CdO,M_i_B,Sr,1.90911263525486,0.06860160523393763,1.9613219999999998,2.803080880641937,0.07734626016064622,2.812394999999998,2.3815050065517425,0.06754485740367616,2.3838319999999986,-0.6942089006304741,0.048792917774063395,-0.6700860000000003,0.5246110625565052,0.12065632597390269,0.44020300000000023,1.194404098391533,0.0921287248181511,1.1097299999999994
II-VI,CdO,M_i_B,Y,1.9489355981349945,0.05630185537026195,1.9703389999999998,2.6964078187942504,0.0629921072243084,2.7693739999999996,2.3533719956874846,0.05481203175842748,2.420576999999999,0.35980920009315015,0.12976603376973614,0.04491299999999998,0.96135233938694,0.08116707462494177,0.7131630000000005,1.5086602121591568,0.06008158793356957,1.5530839999999988
II-VI,CdO,M_i_neut,Cd,1.813695341348648,0.044018692954075546,1.7461610000000003,2.686388063430786,0.04765126191592396,2.603352999999999,2.2705044984817504,0.046813691139590004,2.205752,-0.731076568365097,0.043119631826441435,-0.7939170000000003,0.4480778656899929,0.0847898864969894,0.277549,1.1191459596157074,0.06091454747236505,0.918858
II-VI,CdO,M_i_neut,Co,1.6565081775188446,0.04349579921628425,1.3203650000000007,2.601616394519806,0.0591144841749712,2.5714909999999986,2.180059480667114,0.05996251677112285,2.1394250000000015,-0.6924267619848251,0.04805396296068101,-0.8359090000000006,-0.08378722906422809,0.06684193499668975,-0.225505,0.8643430680036545,0.06138285873763492,0.6896220000000001
II-VI,CdO,M_i_neut,In,1.8620400130748749,0.05129650201904374,1.666308999999999,2.6564837396144867,0.06296702532227386,2.706236000000001,2.2862065553665163,0.05825260630143115,2.254026,0.06544738556258381,0.12262605250268457,-0.08664400000000004,0.6393438547849655,0.09859766607571363,0.4586180000000001,1.4221704393625259,0.054791842645801364,1.2360449999999994
II-VI,CdO,M_i_neut,K,1.6574958711862564,0.07182910095726325,1.4576819999999988,2.6622462570667267,0.08049819785018424,2.7073240000000003,2.2520638406276703,0.07151891564367872,2.2861199999999977,-0.6985475137829781,0.055510137878594525,-0.7480559999999994,-0.36775394827127456,0.07466688359468508,-0.38681099999999985,0.9845391064882278,0.1240954313800481,0.7744840000000004
II-VI,CdO,M_i_neut,O,0.5664985433220864,0.06859433148573953,0.7316779999999995,1.9843472689390182,0.06038623834563529,1.6729670000000003,1.3805410653352737,0.05368933208415525,1.560068999999999,-0.8435065925121308,0.052002327952692995,-0.4446790000000004,-0.44821236804127695,0.05086518976924497,-0.4446790000000004,-0.0910677577368915,0.0629389840277067,-0.17446400000000017
II-VI,CdS,M_A,In,2.1645460397005083,0.08524607598433039,2.0883160000000007,3.2851053297519686,0.05253071352297672,3.007990000000003,2.7976354360580444,0.05679136221402271,2.840109999999999,-0.7870037674903869,0.04410294659481318,-0.838697,-0.22889950703829526,0.09916042689477782,-0.51067,1.3033255159854888,0.11390169086868285,1.4980410000000004
II-VI,CdS,M_A,O,0.747026576846838,0.13246396556199383,0.4384900000000001,2.6461965262889864,0.09479737135702951,2.7192150000000015,1.8845487147569657,0.10547367248802964,2.079949999999998,-0.938976414501667,0.05226687717813479,-0.9006010000000009,-0.5428796887397767,0.06047019303032209,-0.32736900000000035,0.018692543916404247,0.10321453111344603,0.07001200000000003
II-VI,CdS,M_A,S,1.3608881026506423,0.11090339206345487,1.2959269999999994,2.779641419649124,0.09280396093825358,2.9104650000000016,2.10988372862339,0.06750487630418833,2.295715999999999,-0.7294792532920837,0.04841186008800216,-0.8276089999999998,0.007228513701556949,0.10364607539097799,0.4331910000000003,0.7591158255934716,0.08270394860078291,0.8059779999999999
