,Type,Site,Impurity,AB,(+1/0)_DFT,train_mean,train_std
571,II-VI,M_B,Bi,CdTe,-0.025087,0.5354116040516465,0.05079196734900038
572,II-VI,M_A,Pt,ZnSe,0.305296,0.20182917050396648,0.0632230359876821
573,II-VI,M_i_A,Ga,CdTe,1.3622299999999998,1.3570486106072348,0.02362708320156213
574,II-VI,M_i_neut,Pt,ZnTe,0.120761,0.388286769403723,0.04343539410944708
575,II-VI,M_A,B,CdTe,0.9165110000000001,0.37952412825302195,0.04627871947802454
576,II-VI,M_i_A,Br,CdTe,-0.09019500000000001,0.5123094284699017,0.04582501551320602
577,II-VI,M_i_neut,Br,CdTe,-0.045716,0.5029982134124196,0.04240402179952811
578,IV-IV,M_i_B,Cr,SiC,1.374509,1.7257687490579876,0.0382075490891743
579,II-VI,M_i_A,Ni,CdO,0.920568,0.6307462273903834,0.0576773996605419
580,III-V,M_i_neut,Se,InSb,0.412288,0.36469350303493864,0.03330265663104651
581,IV-IV,M_i_A,Be,Si,0.499669,0.3739240478473601,0.05869878524953365
582,II-VI,M_i_neut,Cl,CdTe,0.047437,0.3590125486621861,0.04216162278150303
583,II-VI,M_A,Rh,CdTe,0.055937,0.3238499342493256,0.03281995062665195
584,IV-IV,M_i_B,Al,SiSn,0.507918,0.5143581249942848,0.02905909639183469
585,III-V,M_B,Se,BP,1.049541,0.8110876460040786,0.08873641473308164
586,III-V,M_i_neut,F,AlSb,1.556921,-0.10526777283105049,0.06650032066802489
587,IV-IV,M_i_neut,Rh,Sn,-0.021313,0.18355975809219252,0.03305926147179914
588,IV-IV,M_B,Y,GeSn,-0.18646300000000002,-0.24437325729174625,0.03860278219980553
589,III-V,M_i_neut,Zn,GaAs,0.5441739999999999,0.7603755278681108,0.03038612561240317
590,II-VI,M_i_A,K,CdSe,1.347544,1.4052198382576866,0.027047836103477257
591,IV-IV,M_i_A,Si,Sn,0.22876799999999997,0.3277811526722022,0.03923255252148071
592,II-VI,M_A,B,ZnSe,1.581028,0.7568061202055196,0.05422499360731878
593,IV-IV,M_i_neut,Bi,Sn,0.081196,0.6573041776061803,0.033653042833796915
594,III-V,M_B,Zn,InAs,0.23007600000000003,0.2769213019413898,0.04067160134494439
595,II-VI,M_i_neut,Hg,CdTe,0.72649,1.0916620249809283,0.030583001558714632
596,IV-IV,M_i_neut,Sn,Sn,0.07631,0.4676789880736667,0.031667056451187774
597,IV-IV,M_i_A,Co,Sn,-0.09174700000000001,0.14296444817888565,0.030333756230284083
598,III-V,M_B,F,InP,0.572476,-0.21103161281365135,0.07077797297971665
599,II-VI,M_A,Se,CdSe,0.816919,0.44656790604237023,0.03416327120428886
600,II-VI,M_A,Cs,CdTe,0.128521,0.8475318739122513,0.04291169221183327
601,II-VI,M_A,Tc,CdTe,0.240096,0.6177045381183868,0.03159663991135335
602,III-V,M_i_A,Li,InN,0.836944,1.2924761269726814,0.0749463363296209
603,IV-IV,M_i_neut,Pt,Ge,0.0014349999999999999,-0.08823113892488252,0.05848853520739611
604,II-VI,M_i_B,Pd,ZnSe,0.11641800000000001,0.7886858852729198,0.039206254087895166
605,II-VI,M_A,Rb,CdO,-0.09638300000000001,0.7512469941383737,0.05189048605128097
606,III-V,M_A,Se,GaSb,0.377979,0.13293698347672286,0.03023640490455732
607,IV-IV,M_A,Tl,Si,-0.015844,0.065398789352205,0.04580494625240021
608,II-VI,M_i_B,Fe,ZnSe,1.813881,1.4638509866434468,0.02587029465357715
609,II-VI,M_i_B,Cu,CdTe,1.2480639999999998,1.054400822322738,0.027880586590604602
610,II-VI,M_A,Ta,CdTe,1.111069,0.6197577813344293,0.03693724544289171
611,II-VI,M_i_B,Ag,ZnTe,1.5775139999999999,1.1882194838563456,0.034175582392040306
612,II-VI,M_A,As,ZnSe,1.7324560000000002,0.7190014673724665,0.05337901023297693
613,III-V,M_B,S,AlSb,0.868124,0.35067920026163957,0.07734129965556573
614,II-VI,M_A,Te,CdTe,0.901099,0.5371563147275324,0.030541056170286584
615,II-VI,M_i_A,K,CdTe,1.378327,1.3571128742527006,0.020736223712637676
616,II-VI,M_i_A,Tl,CdTe,1.412232,1.3347113528949097,0.02497891762756079
617,II-VI,M_A,P,CdTe,1.09569,0.3809858683676677,0.02731305913131622
618,II-VI,M_A,Pt,CdTe,0.078261,-0.06882897727267094,0.052223265302518126
619,III-V,M_i_neut,Be,InN,1.063676,1.197595616218374,0.058490166539567325
620,II-VI,M_B,F,CdTe,0.8224370000000001,-0.5681897178762719,0.061286956047765864
621,II-VI,M_i_neut,Cu,CdTe,1.288514,1.0493898472338998,0.026897622299845783
622,II-VI,M_i_A,Au,CdSe,1.014,1.2160808533015053,0.04428067771391209
623,III-V,M_i_B,Ag,GaAs,0.7485149999999999,0.8311467045476795,0.03974365512167216
624,IV-IV,M_A,S,Ge,0.141585,-0.33847608092200154,0.05421991919028254
625,III-V,M_i_A,Tl,InAs,0.8363520000000001,0.7984189831241852,0.03832236904544887
626,IV-IV,M_A,Ir,GeSn,-0.112344,-0.5429946024827023,0.048339037783120556
627,II-VI,M_i_B,F,CdTe,-0.194166,-0.26625081083245006,0.06259208567093141
628,IV-IV,M_B,Rh,SiSn,-0.225867,-0.2609121065433285,0.0383024166346285
629,II-VI,M_i_neut,F,CdTe,-0.203043,-0.2586212677564414,0.06353753609143624
630,II-VI,M_i_neut,Na,CdTe,1.363834,1.2663597125953334,0.02591139459944135
631,II-VI,M_A,Y,CdTe,1.3336940000000002,0.7146821906239326,0.02832505851403067
632,II-VI,M_i_A,Pd,CdTe,0.050714999999999996,0.4910278267714636,0.04154058213913371
633,II-VI,M_i_B,Pd,CdSe,0.236715,0.6239950958161288,0.039154443813301146
634,II-VI,M_i_B,Hg,CdTe,0.629344,1.0914388914189703,0.02736159463636785
635,IV-IV,M_i_neut,Ge,Sn,0.011614,0.38771950432426594,0.03300495422383615
636,II-VI,M_i_B,Au,CdTe,1.078239,1.1074010969259152,0.04752041756105175
637,IV-IV,M_i_neut,Zn,Ge,0.282546,0.4872933724266617,0.026435075074307535
638,II-VI,M_i_A,Au,CdTe,0.762137,1.0998193282843396,0.041261729823123844
639,II-VI,M_A,Rb,CdTe,0.050169,0.8320946274667568,0.04917366768437822
640,IV-IV,M_B,Ag,SiGe,-0.101719,0.28537787086737204,0.050294136634348
641,II-VI,M_i_A,Fe,CdSe,1.260011,1.2110344208237174,0.026015416479751273
642,II-VI,M_i_A,Cl,CdTe,-0.167622,0.3696495141578342,0.04582083937431657
643,IV-IV,M_i_A,Mg,Ge,0.501657,0.4618765543313142,0.046807396134294445
644,II-VI,M_A,Ti,CdTe,0.637412,0.621092081722327,0.02797454743570401
645,II-VI,M_i_neut,Au,CdTe,1.197807,1.1089807354048749,0.046249844663555
646,II-VI,M_i_B,Pd,CdTe,0.057481,0.49067529740399074,0.038088293559420006
647,III-V,M_A,Al,BAs,-0.077153,0.5530453783788308,0.06325941514096106
648,III-V,M_i_A,F,GaAs,-0.445064,-0.5876053522758433,0.05164875882195675
649,IV-IV,M_i_neut,Pd,SiGe,-0.09487999999999999,0.04011502806373468,0.048261236280217217
650,II-VI,M_i_neut,F,ZnSe,-0.269493,-0.4460534431024155,0.05716468230889573
651,II-VI,M_A,Sc,CdTe,1.223475,0.6423395774200367,0.030125954950292917
652,II-VI,M_B,Br,ZnSe,1.8792,0.3977072284386531,0.05394072829980414
653,II-VI,M_i_A,Ag,CdTe,1.2098719999999998,1.0825223284315375,0.03545368800416237
654,II-VI,M_A,Ni,CdTe,-0.044579,-0.17830077873060515,0.05754489821589573
655,II-VI,M_i_neut,Ag,CdTe,1.326777,1.0833165365146797,0.034593896604200564
656,IV-IV,M_i_A,F,GeSn,-0.22471799999999997,-0.634017962838888,0.06484738601018133
657,II-VI,M_i_A,Hg,CdTe,0.311663,1.0867306046023137,0.028393236527798512
658,II-VI,M_A,V,CdTe,0.6720659999999999,0.6299637191720334,0.025909364460683933
659,III-V,M_i_neut,Li,GaP,1.495276,1.2278435043222289,0.0635416894433554
660,II-VI,M_A,Pd,CdTe,-0.039359,-0.2108982856841067,0.050860506979980034
661,IV-IV,M_i_neut,Sc,GeSn,1.039631,0.4706531769785377,0.023700389907572943
662,II-VI,M_A,In,CdS,1.498041,1.2551552593739201,0.03847922080752966
663,II-VI,M_A,Bi,CdTe,1.359298,0.7022677018591948,0.03492205529672191
664,II-VI,M_i_B,Ag,CdTe,1.298024,1.0837865995238816,0.03643781629919014
665,II-VI,M_i_neut,Pd,CdTe,0.078704,0.4867417461372333,0.03722828618139462
666,II-VI,M_A,As,CdTe,1.198505,0.4081726039461865,0.025264160015449184
667,II-VI,M_A,K,CdTe,-0.056704,0.7267847504164362,0.04641838325084134
668,II-VI,M_i_B,Na,CdTe,1.3180479999999999,1.267304071143526,0.026106540457209833
669,II-VI,M_i_neut,Li,CdTe,1.307194,1.2023986161264604,0.037315486425462514
670,III-V,M_B,S,GaSb,0.21203699999999998,-0.1305769384000421,0.05526097376286225
671,II-VI,M_A,V,CdS,1.3044870000000002,1.1798537649066858,0.04368499828301229
672,IV-IV,M_i_A,Au,GeSn,0.05923,0.452622920844248,0.03526575545669424
673,II-VI,M_i_neut,Ag,CdSe,1.2083840000000001,1.2016614664344736,0.03858576100259624
674,II-VI,M_B,P,CdTe,-0.26656599999999997,0.23749420536988736,0.03643055151280423
675,III-V,M_A,Pd,InSb,-0.252601,-0.5993926098774873,0.050481720937558136
676,II-VI,M_i_A,F,CdSe,-0.24305100000000002,-0.2239559872069478,0.05384182097487034
677,II-VI,M_i_A,Li,CdTe,1.2878370000000001,1.1951983325824949,0.046795469942676686
678,II-VI,M_i_A,Na,CdTe,1.320665,1.2691724226781045,0.02359508866454922
679,II-VI,M_A,Fe,CdTe,0.259971,0.4813920874672168,0.025326351275186877
