Type,AB,Site,M,âˆ†H (A-rich),std_1,âˆ†H (B-rich),std_2,(+3/+2),std_3,(+2/+1),std_4,(+1/0),std_5,(0/-1),std_6,(-1/-2),std_7,(-2/-3),std_8
III-V,BN,M_B,Ho,4.51694542,0.14662668,6.35226181,0.044781355,-0.368599446,0.120616792,0.363019743,0.129488288,1.907454484,0.109424642,1.928965708,0.057117004,2.864562019,0.023068708,3.556898647,0.03569753
III-V,BN,M_B,Er,4.538177522,0.149556191,6.365155034,0.048567974,-0.24452287,0.132870712,0.38570836,0.127341175,1.923429821,0.104968314,1.943461952,0.060291606,2.90079172,0.026768286,3.570928287,0.035907742
III-V,BN,M_B,Tm,4.562797388,0.140868508,6.336571098,0.058277239,-0.387113056,0.131246639,0.391419655,0.127955092,1.935503668,0.10063447,1.994611626,0.066818485,2.860146516,0.022572904,3.587931084,0.03746579
III-V,BN,M_B,Yb,4.776439293,0.123989829,6.230307369,0.078978011,-0.166708225,0.173411335,0.368222926,0.136047606,2.005048469,0.128633366,2.001185939,0.085580437,2.863533297,0.02202649,3.566093503,0.047041803
III-V,BN,M_B,Lu,4.490441877,0.165674605,6.292802914,0.049678074,-0.24800287,0.137279097,0.33769174,0.141259179,1.975611243,0.098788364,1.946158546,0.06742512,2.961538191,0.037256213,3.617077151,0.038392233
III-V,BN,M_i_A,Li,4.248210968,0.144445388,5.396352338,0.073944507,-1.328529701,0.067839217,-0.279693818,0.114836139,1.498625925,0.154396604,2.262755719,0.08875691,2.861608651,0.037454726,3.322042234,0.05442116
III-V,BN,M_i_A,Na,6.128724807,0.144657075,5.868144103,0.089548602,-1.217409581,0.067084767,-0.112906655,0.133383892,1.470087759,0.089039037,2.25418145,0.032620677,2.901048533,0.070039633,3.309756179,0.05596378
III-V,BN,M_i_A,K,6.585888868,0.150356925,6.202434952,0.117593217,-1.06442017,0.052894318,-0.008928777,0.064819006,1.606759705,0.079658257,2.170549994,0.045189272,2.774796944,0.062092921,3.276561415,0.055784201
III-V,BN,M_i_A,Rb,6.742553134,0.080324855,6.700910204,0.038288943,-1.054951863,0.078627817,-0.119389734,0.070647887,1.635569705,0.030656871,2.112837632,0.045342655,2.8702634,0.086203664,3.301870987,0.043290983
III-V,BN,M_i_A,Cs,7.320355859,0.209102529,6.67666264,0.087038275,-1.008033808,0.074632767,-0.117581606,0.040785307,1.718709873,0.045539691,2.151804233,0.054200337,2.839932672,0.062455239,3.351881834,0.038905635
III-V,BN,M_i_A,Be,5.440826253,0.233226981,5.713896713,0.186997733,-1.415778536,0.076012758,0.497818412,0.102699687,1.856273205,0.124028395,2.406381526,0.097663114,3.159561702,0.06842537,3.524989317,0.046096894
III-V,BN,M_i_A,Mg,6.06218282,0.13360104,6.484161693,0.154547112,-1.231896243,0.090608751,0.757116688,0.063573998,2.020483381,0.132940497,2.734637841,0.061475969,3.456266022,0.056090533,3.593686771,0.040074973
III-V,BN,M_i_A,Ca,6.628685026,0.159818643,6.444279269,0.114940237,-1.068080232,0.040338897,0.629420651,0.07318752,1.810173402,0.062254881,2.363299318,0.032741729,3.009175442,0.041898859,3.356366009,0.046248759
III-V,BN,M_i_A,Sr,7.078067521,0.123297888,6.762227899,0.074977638,-1.080296439,0.05400387,0.807569788,0.082335152,1.777603553,0.040850054,2.293447425,0.040172464,2.921238653,0.03143202,3.353901635,0.041153543
III-V,BN,M_i_A,Ba,7.111842081,0.109899905,6.903263757,0.062891646,-1.016202606,0.044414107,0.881640948,0.076264279,1.819116094,0.032302347,2.313052385,0.017694159,2.921748503,0.030956189,3.361275472,0.028869819
III-V,BN,M_i_A,B,6.165363448,0.239782767,6.852293271,0.274067548,-0.884792536,0.035506069,0.19010006,0.078248122,2.354280072,0.067895929,2.400539808,0.071676747,2.959433729,0.070843547,3.431845516,0.0361559
III-V,BN,M_i_A,Al,6.847149542,0.199404512,7.61346969,0.156375732,-0.189904706,0.070864926,0.872645142,0.094440567,2.48251705,0.042577022,2.681552437,0.034390157,3.398555385,0.019676103,3.51292208,0.029462342
III-V,BN,M_i_A,Ga,7.109483329,0.186127728,8.144508401,0.162035647,-0.57857097,0.059490452,0.699051635,0.114136529,2.45046835,0.028873811,2.70075311,0.061295572,3.315724008,0.063693399,3.596398807,0.022873474
III-V,BN,M_i_A,In,7.466405806,0.171465798,8.376979529,0.097440471,-0.507609985,0.040751858,0.657666546,0.076912495,2.476860212,0.032312669,2.637400821,0.032708288,3.249186643,0.040032126,3.597369177,0.030309375
III-V,BN,M_i_A,Tl,7.064094891,0.167419856,8.220443824,0.078950624,-1.02194873,0.087502946,0.394743445,0.076994332,2.451388507,0.082927065,2.621574525,0.071327212,3.189851057,0.034596504,3.672421857,0.023236622
III-V,BN,M_i_A,C,6.700270781,0.253861207,7.189138146,0.282968252,-0.561503053,0.117975393,0.124309423,0.091294807,1.920086347,0.066993335,1.873549254,0.07649763,2.531131006,0.070810972,3.478588821,0.049982966
III-V,BN,M_i_A,Si,6.826264422,0.206233504,8.583942465,0.225867694,-0.447822839,0.089195909,0.957982858,0.068280354,2.312577162,0.063697835,2.433534426,0.076979801,3.023154972,0.042890519,3.596676809,0.04030006
III-V,BN,M_i_A,Ge,7.087487162,0.238401164,8.530532525,0.207005731,-0.606181251,0.053794661,0.918311603,0.055069295,2.255542132,0.061521621,2.460409264,0.094669168,3.087542879,0.066749893,3.586296263,0.039842216
III-V,BN,M_i_A,Sn,7.67883289,0.173515878,8.74848625,0.152585941,-0.489335345,0.046932145,0.979422007,0.038391147,2.340867072,0.04769012,2.571113149,0.063270322,3.304082539,0.046859643,3.630550273,0.037559669
III-V,BN,M_i_A,Pb,7.664232745,0.157590011,8.568822562,0.142165724,-0.969354314,0.052312252,0.904143205,0.029556741,2.376894707,0.079078224,2.530933395,0.055561882,3.3164131,0.040343419,3.634049881,0.038665809
III-V,BN,M_i_A,N,6.628632485,0.284545436,7.388677962,0.297100996,-0.874101331,0.083749652,-0.278459673,0.089241353,1.353230099,0.147995999,1.756296628,0.028977563,2.1709201,0.053105843,3.322648745,0.058026862
III-V,BN,M_i_A,P,8.537005479,0.234662727,9.430629539,0.215115762,-0.443296024,0.089297239,0.41591902,0.139267866,2.139374123,0.079862101,2.360139171,0.039112263,2.846843402,0.03425131,3.352028997,0.027458837
III-V,BN,M_i_A,As,8.25450626,0.170005552,9.677178478,0.118746541,-0.503916435,0.090335509,0.787592683,0.068886858,2.260713315,0.07483834,2.428616481,0.062648496,2.940428564,0.033253724,3.430605076,0.027203732
III-V,BN,M_i_A,Sb,8.441202296,0.166220848,9.585642425,0.158214939,-0.278353878,0.072469685,1.020073374,0.082056664,2.348720501,0.060496388,2.525350084,0.052325533,3.213556912,0.048701132,3.582132752,0.040215093
III-V,BN,M_i_A,Bi,7.922707672,0.179191245,9.021611372,0.174837708,-0.305097821,0.118527785,1.028119636,0.051263281,2.514001715,0.032229616,2.460002025,0.035565378,3.265732123,0.047830297,3.614922517,0.036544694
III-V,BN,M_i_A,O,5.761741906,0.182799596,7.05871941,0.255516596,-1.070006483,0.11852841,-0.273732329,0.119287477,0.992375756,0.155152966,1.225908306,0.067269536,1.986752115,0.10132128,3.362887557,0.079835208
III-V,BN,M_i_A,S,8.282153653,0.222118864,9.428652,0.2500228,-0.63564868,0.10713544,0.093252041,0.142186323,1.637898012,0.081351772,1.970038584,0.082350157,2.546404639,0.09694646,3.486313351,0.042631467
III-V,BN,M_i_A,Se,8.439903554,0.19565412,9.501865464,0.228315387,-0.528910107,0.085655143,0.499391831,0.067435276,1.827712638,0.060161291,2.119159154,0.073849067,2.654833338,0.032467902,3.47608224,0.025238088
III-V,BN,M_i_A,Te,8.638957093,0.203517939,9.609754007,0.20141803,-0.304672921,0.049574519,0.807741109,0.105226388,1.928069101,0.032556967,2.296788359,0.056839884,2.922131937,0.04974065,3.609645972,0.027422053
III-V,BN,M_i_A,F,4.404538297,0.155284836,6.407953072,0.277534326,-1.142028845,0.142320873,-0.19249898,0.182257581,0.592937152,0.144310472,0.910671022,0.079026248,2.739374749,0.059732801,3.566371341,0.074130651
III-V,BN,M_i_A,Cl,7.293347254,0.444435545,8.275352654,0.463564424,-1.068453719,0.088166436,-0.0943786,0.108681679,1.035526453,0.130532391,1.368633273,0.054247954,2.830893981,0.055357351,3.571052553,0.060492363
