Type,AB,Site,M,âˆ†H (A-rich),std_1,âˆ†H (B-rich),std_2,(+3/+2),std_3,(+2/+1),std_4,(+1/0),std_5,(0/-1),std_6,(-1/-2),std_7,(-2/-3),std_8
III-V,BP,M_B,Cu,5.696545474,0.30802228,6.249114802,0.424920326,-1.109061084,0.015315655,-0.343793846,0.04833609,0.438140709,0.083919919,1.202970213,0.082445657,1.844143629,0.065420533,2.768902412,0.061325445
III-V,BP,M_B,Zn,6.803901446,0.190669399,7.400897698,0.225023041,-1.040247,0.070199696,-0.255748447,0.028562601,0.380392729,0.081155375,1.300076582,0.091007406,2.071170183,0.07013181,2.733745561,0.043159396
III-V,BP,M_B,Y,7.489108359,0.25009541,9.121816506,0.341992782,-0.529906308,0.020614868,-0.126166057,0.049149939,0.508166187,0.095089689,1.661301096,0.117316172,2.104805491,0.039486656,2.653493015,0.068720838
III-V,BP,M_B,Zr,6.1544638,0.226031022,7.443081224,0.373293456,-0.674851476,0.017636892,-0.359908888,0.07744132,0.380120356,0.106762987,1.389560908,0.118434295,1.895348368,0.033247667,2.668709544,0.054473222
III-V,BP,M_B,Nb,6.361409733,0.166604194,7.883208228,0.238795464,-0.828606071,0.051730127,-0.598947229,0.07657248,0.188943,0.101087647,1.189531079,0.11020272,1.844914047,0.040928129,2.656980894,0.06300512
III-V,BP,M_B,Mo,6.671844701,0.177113425,7.818691895,0.304837261,-0.898778367,0.050357982,-0.702934768,0.058547865,-0.054403973,0.092726753,1.076038091,0.09657121,1.736446584,0.079054176,2.584629344,0.061345406
III-V,BP,M_B,Tc,6.762108224,0.251085381,7.352577758,0.320413021,-0.849709831,0.020824599,-0.639219487,0.097839568,-0.024094124,0.101720735,1.056813446,0.114547459,1.801970096,0.085217299,2.593892038,0.070146763
III-V,BP,M_B,Ru,6.466964187,0.337811813,7.545054397,0.40536462,-1.066137504,0.038551912,-0.685845245,0.057199847,-0.001859795,0.089119304,1.084454631,0.088227029,1.699967376,0.084237005,2.685146483,0.051865979
III-V,BP,M_B,Rh,6.374025877,0.258183205,7.132939949,0.45777236,-1.235752655,0.035806075,-0.65425241,0.033515142,-0.060965402,0.087386475,1.103445754,0.075107465,1.731912518,0.078085987,2.685539239,0.051095057
III-V,BP,M_B,Pd,6.303160563,0.257408066,7.130613639,0.385609783,-1.184949141,0.020245875,-0.665291854,0.066918356,0.013778307,0.103711359,1.220984784,0.075877439,1.792832601,0.090801956,2.693839964,0.040624117
III-V,BP,M_B,Ag,6.640011056,0.235417521,7.30542452,0.314192672,-1.064637481,0.012060791,-0.283578847,0.058340642,0.572162208,0.072245254,1.393567704,0.06876744,1.995517977,0.064801368,2.815390621,0.045944955
III-V,BP,M_B,Cd,7.498914085,0.177952432,8.531300218,0.181755916,-0.892780331,0.058668649,-0.230336974,0.03811514,0.541304567,0.080133144,1.315914592,0.087646384,2.145441611,0.066928393,2.752502119,0.032068241
III-V,BP,M_B,La,7.641429069,0.206103695,8.666075583,0.208247678,-0.540212603,0.04651669,-0.212923239,0.060741426,0.675029723,0.114584842,1.617177577,0.108428426,2.073996832,0.093291085,2.740974987,0.082513253
III-V,BP,M_B,Hf,6.649185342,0.118491219,7.440970809,0.268976075,-0.674729319,0.013529283,-0.475233137,0.079101044,0.498241559,0.091567816,1.317585996,0.066205007,1.876009087,0.065057137,2.647599586,0.058189112
III-V,BP,M_B,Ta,7.329448635,0.274481196,8.791601741,0.203658993,-0.645336652,0.034497774,-0.529218434,0.079121842,0.207852054,0.095171267,1.150086207,0.075015248,1.864118055,0.04788266,2.638437771,0.062821528
III-V,BP,M_B,W,7.702971202,0.220684264,8.256911562,0.397962259,-0.782553539,0.033834175,-0.64962857,0.046754646,-0.011547129,0.083432105,1.016774114,0.075205922,1.718161203,0.082048733,2.535333784,0.054945275
