AB,Type,Site,Impurity,,Transition Levels ->,(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Formation Energies ->,Delta_H (A_rich),Delta_H (B_rich)
ZnSe,II-VI,M_B,Br,,,-1.01,-0.62,1.86,2.48,3.03,3.63,,,0.92,1.82
ZnSe,II-VI,M_B,Rh,,,-0.95,-0.52,-0.06,0.62,2.57,3.08,,,4.2,5.99
ZnSe,II-VI,M_B,Ni,,,-1.05,-0.68,-0.11,1.92,2.44,3.02,,,0.92,2.84
ZnSe,II-VI,M_B,Tl,,,0.56,0.85,1.14,1.76,2.33,2.79,,,2.63,4.99
ZnSe,II-VI,M_B,C,,,-1.17,-0.78,-0.33,0.13,0.62,2.83,,,4.1,5.91
ZnSe,II-VI,M_i_A,Te,,,0.14,0.4,1.07,1.56,2.05,3.23,,,6.35,5.43
ZnSe,II-VI,M_i_A,K,,,-0.86,-0.44,1.98,2.59,3.14,3.72,,,3.1,4.37
ZnSe,II-VI,M_i_A,Au,,,-0.87,-0.48,1.43,1.92,2.92,3.38,,,3.46,3.05
ZnSe,II-VI,M_i_A,Ba,,,-0.66,1.53,2.13,2.73,3.28,3.67,,,5.8,7.68
ZnSe,II-VI,M_i_A,Cl,,,-0.9,-0.53,-0.11,0.3,2.73,3.36,,,4.79,3.88
ZnSe,II-VI,M_i_B,Fe,,,-0.35,0.51,1.8,2.34,2.82,3.79,,,1.28,2.32
ZnSe,II-VI,M_i_B,As,,,0.53,0.89,1.19,1.84,2.27,2.64,,,5.52,5.46
ZnSe,II-VI,M_i_B,Au,,,-0.91,-0.45,1.55,1.95,2.84,3.34,,,3.59,3.18
ZnSe,II-VI,M_i_B,Pd,,,-0.86,-0.42,0.1,2.24,2.86,3.43,,,2.89,2.35
ZnSe,II-VI,M_i_B,Bi,,,0.84,1.24,1.62,2.2,2.67,3.13,,,6.28,7.24
ZnSe,II-VI,M_i_neut,I,,,-0.29,0.18,0.82,1.43,2.89,3.5,,,6.02,5.11
ZnSe,II-VI,M_i_neut,Cs,,,-0.7,-0.28,2.07,2.65,3.28,3.29,,,5.75,7.3
ZnSe,II-VI,M_i_neut,F,,,-1.08,-0.68,-0.28,0.16,2.63,3.25,,,2.75,1.85
ZnSe,II-VI,M_i_neut,Hg,,,-0.8,0.44,0.98,2.5,3.03,3.52,,,3.08,3.5
ZnSe,II-VI,M_i_neut,La,,,1.34,1.53,2.09,2.37,2.38,2.38,,,6.28,9.19
ZnTe,II-VI,M_A,Hf,,,-0.76,0.7,1.24,1.95,2.42,2.76,,,3.15,3.76
ZnTe,II-VI,M_A,Ga,,,-0.87,-0.49,1.19,1.66,2.3,2.73,,,1.53,1.03
