AB,Type,Site,Impurity,,Transition Levels ->,(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Formation Energies ->,Delta_H (A_rich),Delta_H (B_rich)
CdTe,II-VI,M_A,Cd,,,-0.78,-0.5,-0.18,1.55,2.01,2.39,,,0,-0.03
CdTe,II-VI,M_A,La,,,-0.72,-0.42,1.32,1.88,2.25,2.58,,,1.79,2.54
CdTe,II-VI,M_A,Hf,,,-0.76,0.79,1.2,1.68,2.01,2.39,,,2.17,3.41
CdTe,II-VI,M_A,Ta,,,-0.1,0.25,1.1,1.66,2.09,2.41,,,3.26,3.62
CdTe,II-VI,M_A,W,,,-0.53,0.48,0.94,1.4,1.74,2.38,,,4.74,4.1
CdTe,II-VI,M_A,Re,,,-0.38,0.43,0.49,1.2,1.81,2.13,,,4.7,4.25
CdTe,II-VI,M_A,Os,,,-0.79,0.12,0.55,0.99,1.65,2.21,,,4.27,3.55
CdTe,II-VI,M_A,Ir,,,-0.58,-0.19,0.22,0.98,1.46,1.96,,,3.53,3.45
CdTe,II-VI,M_A,Pt,,,-0.7,-0.37,0.07,0.61,1.15,2.13,,,2.79,2.26
CdTe,II-VI,M_A,Au,,,-0.86,-0.45,-0.13,0.26,1.8,2.26,,,2.02,0.8
CdTe,II-VI,M_A,Hg,,,-0.78,-0.5,-0.17,1.52,1.99,2.41,,,0.66,0.04
CdTe,II-VI,M_B,Li,,,0.25,0.38,1.01,1.29,1.64,1.96,,,3.43,4.86
CdTe,II-VI,M_B,Na,,,0.37,0.56,1.26,1.55,2,2.28,,,3.14,4.71
CdTe,II-VI,M_B,K,,,0.83,1.22,1.51,1.8,2.21,2.54,,,3.68,5.37
CdTe,II-VI,M_B,Rb,,,0.82,1.37,1.61,1.91,2.28,2.56,,,3.67,5.48
CdTe,II-VI,M_B,Cs,,,0.89,1.26,1.62,1.74,1.79,2.06,,,3.32,5.21
CdTe,II-VI,M_B,Be,,,-0.7,0.19,0.27,0.59,1.12,1.57,,,3.76,5.44
CdTe,II-VI,M_B,Mg,,,-0.66,0.69,0.91,1.18,1.55,2.04,,,3.32,5.22
CdTe,II-VI,M_B,Ca,,,-0.05,0.79,1.19,1.46,1.84,2.27,,,5.07,6.98
CdTe,II-VI,M_B,Sr,,,0.27,0.98,1.32,1.69,1.98,2.39,,,5.28,7.18
CdTe,II-VI,M_B,Ba,,,0.69,1.08,1.44,1.74,2.08,2.47,,,5.65,7.55
CdTe,II-VI,M_B,B,,,-0.89,-0.56,-0.24,0.25,0.65,1.05,,,4.48,5.43
CdTe,II-VI,M_B,Al,,,-0.08,-0.03,0.24,0.8,1.18,1.56,,,2.6,4.69
CdTe,II-VI,M_B,Ga,,,0.11,0.11,0.28,0.82,1.19,1.56,,,2.15,3.94
CdTe,II-VI,M_B,In,,,0.22,0.29,0.49,0.98,1.38,1.76,,,2.08,3.82
CdTe,II-VI,M_B,Tl,,,0.45,0.47,0.65,1.09,1.5,1.84,,,2.21,3.64
CdTe,II-VI,M_B,C,,,-0.91,-0.62,-0.29,-0.01,0.32,1.91,,,5.06,6.01
CdTe,II-VI,M_B,Si,,,-0.78,-0.46,-0.1,0.28,0.65,2.06,,,2.43,3.38
CdTe,II-VI,M_B,Ge,,,-0.67,-0.42,0,0.39,0.74,2.07,,,1.99,3.12
CdTe,II-VI,M_B,Sn,,,-0.52,-0.28,0.21,0.6,0.96,2.12,,,1.77,3.29
CdTe,II-VI,M_B,Pb,,,-0.38,-0.15,0.4,0.75,1.09,2.15,,,2,3.77
CdTe,II-VI,M_B,N,,,-0.95,-0.65,-0.38,-0.06,1.46,1.92,,,-2.64,-1.69
CdTe,II-VI,M_B,P,,,-0.88,-0.56,-0.27,0.06,1.76,2.22,,,0.85,1.61
CdTe,II-VI,M_B,As,,,-0.85,-0.52,-0.24,0.09,1.76,2.22,,,0.81,1.55
CdTe,II-VI,M_B,Sb,,,-0.76,-0.43,-0.14,0.2,1.82,2.28,,,0.79,1.97
CdTe,II-VI,M_B,Bi,,,-0.69,-0.36,-0.03,0.3,1.83,2.29,,,1.03,2.56
CdTe,II-VI,M_B,O,,,-0.89,-0.63,-0.31,0.97,1.39,2.13,,,1.69,2.14
CdTe,II-VI,M_B,S,,,-0.84,-0.58,-0.25,1.41,1.88,2.29,,,0.84,0.84
CdTe,II-VI,M_B,Se,,,-0.8,-0.53,-0.21,1.48,1.94,2.35,,,0.04,0.04
CdTe,II-VI,M_B,Te,,,-0.77,-0.5,-0.18,1.55,2.01,2.39,,,-0.03,0
CdTe,II-VI,M_B,F,,,-0.83,-0.53,0.82,1.08,1.81,2.11,,,2.03,2.51
CdTe,II-VI,M_B,Cl,,,-0.77,-0.47,1.18,1.63,2.06,2.48,,,1.55,2.02
CdTe,II-VI,M_B,Br,,,-0.75,-0.45,1.24,1.69,2.1,2.52,,,0.84,1.31
CdTe,II-VI,M_B,I,,,-0.74,-0.43,1.28,1.75,2.14,2.62,,,0.74,1.21
CdTe,II-VI,M_B,Sc,,,-0.39,0,0.52,1.21,1.65,1.95,,,3.65,6.03
CdTe,II-VI,M_B,Ti,,,-0.59,-0.17,0.78,1.19,1.39,2.15,,,2.45,5.01
CdTe,II-VI,M_B,V,,,-0.63,-0.14,0.3,1.27,1.73,2.03,,,1.13,3.06
CdTe,II-VI,M_B,Cr,,,-0.67,-0.1,0.91,1.3,1.58,2.05,,,0.52,2.05
CdTe,II-VI,M_B,Mn,,,-0.67,0.1,0.61,0.98,1.57,2.11,,,1.67,2.99
CdTe,II-VI,M_B,Fe,,,-0.73,-0.42,0.13,1.19,1.65,2.89,,,1.44,2.92
CdTe,II-VI,M_B,Co,,,-0.85,-0.5,0.4,0.94,1.58,2.08,,,1.4,2.95
CdTe,II-VI,M_B,Ni,,,-0.82,-0.55,-0.21,1.23,1.59,2.08,,,0.83,2.41
CdTe,II-VI,M_B,Cu,,,-0.8,-0.51,0.87,1.18,1.6,1.96,,,1.54,2.62
CdTe,II-VI,M_B,Zn,,,-0.66,0.73,0.79,1.04,1.41,1.9,,,2.02,3.91
CdTe,II-VI,M_B,Y,,,-0.16,0.3,0.73,1.33,1.79,2.08,,,5.61,8.12
CdTe,II-VI,M_B,Zr,,,-0.55,-0.15,0.74,1.07,1.41,2.17,,,5.76,8.89
CdTe,II-VI,M_B,Nb,,,-0.62,-0.23,0.37,1.24,1.68,1.99,,,5.77,8.37
CdTe,II-VI,M_B,Mo,,,-0.65,0.01,0.7,1.08,1.42,2.11,,,6.01,7.78
CdTe,II-VI,M_B,Tc,,,-0.55,-0.34,0.16,0.64,1.75,2.2,,,5.58,7.49
CdTe,II-VI,M_B,Ru,,,-0.81,-0.5,-0.22,0.97,1.43,2.09,,,4.65,6.61
CdTe,II-VI,M_B,Rh,,,-0.81,-0.55,-0.24,0.27,1.72,2.12,,,3.33,5.5
CdTe,II-VI,M_B,Pd,,,-0.86,-0.57,-0.26,1.35,1.72,2.21,,,2.3,3.37
CdTe,II-VI,M_B,Ag,,,-0.79,-0.49,1.01,1.34,1.78,2.14,,,2.15,3.07
CdTe,II-VI,M_B,Cd,,,-0.66,0.76,0.96,1.24,1.57,2.06,,,2.14,4.01
CdTe,II-VI,M_B,La,,,-0.05,0.46,0.97,1.49,1.93,2.2,,,6.21,8.86
CdTe,II-VI,M_B,Hf,,,-0.58,-0.22,0.68,1.04,1.38,2.17,,,5.68,8.83
CdTe,II-VI,M_B,Ta,,,-0.7,-0.31,0.42,1.18,1.4,2.09,,,6.63,8.9
CdTe,II-VI,M_B,W,,,-0.77,0.39,0.4,0.4,1.36,2.09,,,7.94,9.21
CdTe,II-VI,M_B,Re,,,-0.27,-0.27,-0.27,0.63,1.74,2.2,,,6.75,8.2
CdTe,II-VI,M_B,Os,,,-0.66,-0.65,-0.22,0.99,1.46,2.09,,,5.71,6.89
CdTe,II-VI,M_B,Ir,,,-0.78,-0.53,-0.24,0.3,1.71,2.13,,,3.95,5.77
CdTe,II-VI,M_B,Pt,,,-0.82,-0.56,-0.25,1.35,1.73,2.24,,,2.13,3.5
CdTe,II-VI,M_B,Au,,,-0.78,-0.49,1,1.34,1.77,2.15,,,1.92,2.6
CdTe,II-VI,M_B,Hg,,,-0.65,0.84,1,1.34,1.61,2.1,,,1.89,3.17
CdTe,II-VI,M_i_A,Li,,,-0.73,-0.42,1.28,1.75,2.12,2.59,,,1.09,1.57
CdTe,II-VI,M_i_A,Na,,,-0.7,-0.38,1.31,1.78,2.16,2.63,,,0.92,1.54
CdTe,II-VI,M_i_A,K,,,-0.65,-0.33,1.37,1.83,2.2,2.64,,,1.49,2.22
CdTe,II-VI,M_i_A,Rb,,,-0.61,-0.3,1.4,1.85,2.23,2.65,,,1.98,2.84
CdTe,II-VI,M_i_A,Cs,,,-0.57,-0.25,1.44,1.86,2.28,2.67,,,2.85,3.79
CdTe,II-VI,M_i_A,Be,,,-0.67,0.2,0.77,1.65,2,2.36,,,3.31,4.04
CdTe,II-VI,M_i_A,Mg,,,-0.65,0.92,1.37,1.84,2.2,2.5,,,2.44,3.39
CdTe,II-VI,M_i_A,Ca,,,-0.6,1.08,1.52,1.92,2.23,2.52,,,2.47,3.42
CdTe,II-VI,M_i_A,Sr,,,-0.57,1.09,1.53,1.95,2.27,2.55,,,2.73,3.68
CdTe,II-VI,M_i_A,Ba,,,-0.52,1.11,1.55,1.96,2.31,2.63,,,3.25,4.2
CdTe,II-VI,M_i_A,B,,,-0.75,-0.44,1.07,1.39,1.65,2.12,,,5.21,5.21
CdTe,II-VI,M_i_A,Al,,,-0.52,-0.17,1.37,1.76,2.13,2.49,,,2.37,3.52
CdTe,II-VI,M_i_A,Ga,,,-0.7,-0.38,1.36,1.75,2.11,2.51,,,1.62,2.45
CdTe,II-VI,M_i_A,In,,,-0.62,-0.24,1.4,1.8,2.15,2.56,,,1.84,2.64
CdTe,II-VI,M_i_A,Tl,,,-0.64,-0.32,1.41,1.82,2.16,2.6,,,1.65,2.13
CdTe,II-VI,M_i_A,C,,,-0.67,-0.29,0.09,0.5,1.61,1.92,,,6.86,6.86
CdTe,II-VI,M_i_A,Si,,,-0.64,0.91,1.19,1.44,1.84,2.22,,,3.78,3.78
CdTe,II-VI,M_i_A,Ge,,,-0.67,0.93,1.33,1.54,1.9,2.29,,,3.07,3.25
CdTe,II-VI,M_i_A,Sn,,,-0.59,1.02,1.43,1.79,2.13,2.4,,,2.81,3.38
CdTe,II-VI,M_i_A,Pb,,,-0.56,1.07,1.48,1.85,2.18,2.46,,,2.63,3.46
CdTe,II-VI,M_i_A,N,,,-0.75,-0.48,-0.16,0.75,0.99,1.35,,,-0.32,-0.32
CdTe,II-VI,M_i_A,P,,,0.04,0.06,0.33,1.11,1.42,1.79,,,3.64,3.45
CdTe,II-VI,M_i_A,As,,,0.18,0.32,0.56,1.23,1.56,1.92,,,3.42,3.21
CdTe,II-VI,M_i_A,Sb,,,0.47,0.7,0.95,1.41,1.79,2.11,,,3.58,3.8
CdTe,II-VI,M_i_A,Bi,,,0.56,0.86,1.11,1.5,1.9,2.25,,,3.53,4.11
CdTe,II-VI,M_i_A,O,,,-0.78,-0.51,-0.24,0.06,0.33,2.06,,,4.18,3.68
CdTe,II-VI,M_i_A,S,,,-0.7,-0.39,0.06,0.45,0.8,2.12,,,4.45,3.5
CdTe,II-VI,M_i_A,Se,,,-0.52,-0.28,0.28,0.67,1.03,2.16,,,3.77,2.82
CdTe,II-VI,M_i_A,Te,,,-0.12,0.06,0.63,0.97,1.35,2.24,,,4.14,3.21
CdTe,II-VI,M_i_A,F,,,-0.83,-0.54,-0.27,0.05,1.79,2.25,,,1.99,1.52
CdTe,II-VI,M_i_A,Cl,,,-0.75,-0.45,-0.17,0.14,1.88,2.34,,,2.96,2.49
CdTe,II-VI,M_i_A,Br,,,-0.67,-0.37,-0.1,0.2,1.89,2.36,,,2.91,2.43
CdTe,II-VI,M_i_A,I,,,-0.57,-0.19,0.16,0.49,1.94,2.4,,,3.71,3.24
CdTe,II-VI,M_i_A,Sc,,,0.43,1.01,1.47,1.81,2.15,2.51,,,1.88,3.31
CdTe,II-VI,M_i_A,Ti,,,-0.27,0.51,1.33,1.76,2.13,2.56,,,0.43,2.04
CdTe,II-VI,M_i_A,V,,,-0.67,0.67,1.32,2.06,2.06,2.07,,,-0.13,0.84
CdTe,II-VI,M_i_A,Cr,,,-0.62,-0.04,1.27,1.73,2.11,2.58,,,-0.82,-0.25
CdTe,II-VI,M_i_A,Mn,,,-0.66,0.78,1.34,1.74,2.1,2.46,,,0.97,1.34
CdTe,II-VI,M_i_A,Fe,,,-0.61,0.12,1.08,1.6,1.98,2.35,,,1.12,1.64
CdTe,II-VI,M_i_A,Co,,,-0.69,-0.34,1.16,1.62,2.01,2.38,,,0.89,1.49
CdTe,II-VI,M_i_A,Ni,,,-0.64,-0.21,0.67,1.49,1.9,2.32,,,0.77,1.4
CdTe,II-VI,M_i_A,Cu,,,-0.75,-0.42,1.06,1.44,2.04,2.36,,,1.11,1.23
CdTe,II-VI,M_i_A,Zn,,,-0.66,0.06,0.54,1.67,2.06,2.41,,,1.13,2.07
CdTe,II-VI,M_i_A,Y,,,0.74,1.18,1.57,1.88,2.25,2.55,,,3.46,5.01
CdTe,II-VI,M_i_A,Zr,,,0.26,0.76,1.36,1.78,2.14,2.59,,,3.43,5.61
CdTe,II-VI,M_i_A,Nb,,,-0.37,0.96,1.44,1.76,2.2,2.33,,,4.19,5.83
CdTe,II-VI,M_i_A,Mo,,,0.15,0.46,1.51,1.51,2.08,2.42,,,5.24,6.06
CdTe,II-VI,M_i_A,Tc,,,-0.12,0.2,0.89,1.5,1.93,2.28,,,4.75,5.71
CdTe,II-VI,M_i_A,Ru,,,-0.61,-0.16,0.45,1.53,1.98,2.35,,,3.81,4.82
CdTe,II-VI,M_i_A,Rh,,,-0.51,-0.36,0.7,1.33,1.85,2.24,,,2.65,3.87
CdTe,II-VI,M_i_A,Pd,,,-0.7,-0.38,0.04,1.5,1.96,2.37,,,2.02,2.13
CdTe,II-VI,M_i_A,Ag,,,-0.72,-0.4,1.2,1.62,2.11,2.5,,,1.71,1.68
CdTe,II-VI,M_i_A,Cd,,,-0.63,0.42,0.86,1.73,2.1,2.44,,,1.64,2.56
CdTe,II-VI,M_i_A,La,,,0.7,1.14,1.59,1.95,2.26,2.58,,,3.51,5.21
CdTe,II-VI,M_i_A,Hf,,,0.5,0.92,1.37,1.77,2.14,2.55,,,4.14,6.34
CdTe,II-VI,M_i_A,Ta,,,-0.14,0.99,1.43,1.77,2.27,2.35,,,5.34,6.65
CdTe,II-VI,M_i_A,W,,,0.49,0.81,1.27,1.56,1.98,2.33,,,6.85,7.17
CdTe,II-VI,M_i_A,Re,,,0.07,0.28,1.17,1.66,1.83,2.37,,,6.67,7.17
CdTe,II-VI,M_i_A,Os,,,-0.53,0.59,0.71,1.43,1.9,2.35,,,5.86,6.08
CdTe,II-VI,M_i_A,Ir,,,-0.16,-0.05,0.83,1.36,1.81,2.14,,,4.31,5.18
CdTe,II-VI,M_i_A,Pt,,,-0.62,-0.27,0.18,1.33,1.76,2.33,,,3.03,3.44
CdTe,II-VI,M_i_A,Au,,,-0.73,-0.4,0.76,1.14,2.01,2.35,,,2.26,1.99
CdTe,II-VI,M_i_A,Hg,,,-0.63,-0.13,0.31,1.68,2.08,2.44,,,1.31,1.64
CdTe,II-VI,M_i_B,Li,,,-0.74,-0.42,1.29,1.75,2.13,2.61,,,0.9,1.37
CdTe,II-VI,M_i_B,Na,,,-0.72,-0.4,1.31,1.78,2.17,2.72,,,1.01,1.63
CdTe,II-VI,M_i_B,K,,,-0.63,-0.38,1.4,1.83,2.29,2.75,,,1.89,2.63
CdTe,II-VI,M_i_B,Rb,,,-0.59,-0.28,1.43,1.9,2.32,2.75,,,2.49,3.35
CdTe,II-VI,M_i_B,Cs,,,-0.53,-0.23,1.47,1.94,2.37,2.81,,,3.42,4.36
CdTe,II-VI,M_i_B,Be,,,-0.63,0.99,1.3,1.69,2.02,2.53,,,2.97,3.7
CdTe,II-VI,M_i_B,Mg,,,-0.64,1.02,1.49,1.84,2.22,2.63,,,2.27,3.22
CdTe,II-VI,M_i_B,Ca,,,-0.57,1.08,1.56,1.93,2.47,2.72,,,2.74,3.69
CdTe,II-VI,M_i_B,Sr,,,-0.57,1.14,1.6,2,2.49,2.76,,,3.24,4.2
CdTe,II-VI,M_i_B,Ba,,,-0.49,1.17,1.64,2.04,2.53,2.79,,,3.92,4.87
CdTe,II-VI,M_i_B,B,,,0.58,0.59,1.22,1.6,2.09,2.41,,,4.84,4.84
CdTe,II-VI,M_i_B,Al,,,0.52,0.53,1.33,1.78,2.23,2.74,,,2.44,3.59
CdTe,II-VI,M_i_B,Ga,,,-0.05,-0.04,1.32,1.77,2.25,2.7,,,1.74,2.58
CdTe,II-VI,M_i_B,In,,,0.08,0.18,1.38,1.83,2.3,2.76,,,2.13,2.92
CdTe,II-VI,M_i_B,Tl,,,-0.55,-0.26,1.41,1.87,2.29,2.77,,,2.03,2.51
CdTe,II-VI,M_i_B,C,,,-0.7,0.59,1.08,1.38,1.88,2.31,,,6.94,6.94
CdTe,II-VI,M_i_B,Si,,,-0.65,0.94,1.38,1.86,2.19,2.54,,,3.81,3.81
CdTe,II-VI,M_i_B,Ge,,,-0.62,1.04,1.41,1.87,2.18,2.18,,,3.12,3.31
CdTe,II-VI,M_i_B,Sn,,,-0.57,1.07,1.51,1.94,2.1,2.4,,,3.17,3.74
CdTe,II-VI,M_i_B,Pb,,,-0.55,1.1,1.54,1.96,2.25,2.51,,,3.06,3.88
CdTe,II-VI,M_i_B,N,,,0.29,0.29,0.29,1.43,1.98,2.35,,,-0.15,-0.15
CdTe,II-VI,M_i_B,P,,,0.4,0.56,0.78,1.36,1.48,1.7,,,4.04,3.85
CdTe,II-VI,M_i_B,As,,,0.38,0.73,0.86,1.4,1.6,1.84,,,3.78,3.57
CdTe,II-VI,M_i_B,Sb,,,0.46,0.85,1.04,1.47,1.74,2.1,,,3.92,4.15
CdTe,II-VI,M_i_B,Bi,,,0.55,0.92,1.25,1.49,1.87,2.25,,,3.96,4.54
CdTe,II-VI,M_i_B,O,,,-0.74,-0.42,0.13,0.82,1.51,2.13,,,4.94,4.44
CdTe,II-VI,M_i_B,S,,,-0.42,-0.26,0.45,0.77,0.98,2.07,,,4.95,4
CdTe,II-VI,M_i_B,Se,,,-0.11,-0.1,0.55,0.85,1.12,2.12,,,4.21,3.26
CdTe,II-VI,M_i_B,Te,,,0.05,0.21,0.7,1.05,1.35,2.22,,,4.49,3.57
CdTe,II-VI,M_i_B,F,,,-0.82,-0.49,-0.2,0.11,1.82,2.28,,,2.89,2.41
CdTe,II-VI,M_i_B,Cl,,,-0.66,-0.34,-0.04,0.24,1.91,2.37,,,3.62,3.14
CdTe,II-VI,M_i_B,Br,,,-0.62,-0.32,0.07,0.39,1.92,2.4,,,3.42,2.94
CdTe,II-VI,M_i_B,I,,,-0.51,-0.2,0.31,0.67,1.99,2.47,,,4.13,3.66
CdTe,II-VI,M_i_B,Sc,,,0.8,1.26,1.58,1.94,2.33,2.67,,,2.05,3.47
CdTe,II-VI,M_i_B,Ti,,,0.38,1.17,1.37,1.75,2.19,2.5,,,0.96,2.57
CdTe,II-VI,M_i_B,V,,,0.27,0.7,1.11,1.71,2.04,2.41,,,-0.16,0.82
CdTe,II-VI,M_i_B,Cr,,,-0.46,-0.05,1.29,1.75,2.13,2.65,,,-1.06,-0.48
CdTe,II-VI,M_i_B,Mn,,,-0.68,0.96,1.45,1.82,2.2,4.22,,,0.62,0.99
CdTe,II-VI,M_i_B,Fe,,,-0.23,0.41,1.44,1.58,2.17,2.39,,,1.01,1.53
CdTe,II-VI,M_i_B,Co,,,-0.69,0.41,1.17,1.69,2,2.34,,,0.8,1.39
CdTe,II-VI,M_i_B,Ni,,,-0.61,-0.1,0.68,1.59,1.99,2.32,,,0.35,0.98
CdTe,II-VI,M_i_B,Cu,,,-0.74,-0.4,1.24,1.69,2.05,2.42,,,0.77,0.9
CdTe,II-VI,M_i_B,Zn,,,-0.64,0.68,1,1.63,2.04,2.48,,,1.34,2.28
CdTe,II-VI,M_i_B,Y,,,0.9,1.28,1.68,2.11,2.44,2.72,,,3.81,5.37
CdTe,II-VI,M_i_B,Zr,,,0.75,1.11,1.5,1.85,2.19,2.44,,,4.26,6.44
CdTe,II-VI,M_i_B,Nb,,,0.59,0.86,1.21,1.65,2.03,2.41,,,4.42,6.06
CdTe,II-VI,M_i_B,Mo,,,0.13,0.24,1.29,1.75,2.15,2.64,,,4.6,5.41
CdTe,II-VI,M_i_B,Tc,,,-0.43,0.75,1.29,1.6,1.95,2.34,,,4.78,5.74
CdTe,II-VI,M_i_B,Ru,,,-0.31,0.13,1.04,1.56,2.03,2.17,,,4.15,5.16
CdTe,II-VI,M_i_B,Rh,,,-0.5,0.07,0.58,1.14,1.85,2.16,,,2.68,3.9
CdTe,II-VI,M_i_B,Pd,,,-0.69,-0.33,0.05,1.55,2,2.37,,,1.86,1.97
CdTe,II-VI,M_i_B,Ag,,,-0.71,-0.38,1.29,1.74,2.11,2.54,,,1.61,1.58
CdTe,II-VI,M_i_B,Cd,,,-0.6,0.8,1.14,1.73,2.11,2.54,,,1.87,2.8
CdTe,II-VI,M_i_B,La,,,0.79,1.19,1.67,2.11,2.4,2.7,,,4.16,5.86
CdTe,II-VI,M_i_B,Hf,,,1.13,1.27,1.53,1.86,2.21,2.5,,,4.84,7.04
CdTe,II-VI,M_i_B,Ta,,,0.76,1.05,1.32,1.66,1.99,2.35,,,5.77,7.08
CdTe,II-VI,M_i_B,W,,,0.36,0.51,1.27,1.7,2.09,2.44,,,6.42,6.73
CdTe,II-VI,M_i_B,Re,,,-0.18,0.9,1.35,1.7,1.77,2.25,,,6.64,7.14
CdTe,II-VI,M_i_B,Os,,,-0.07,0.35,1.1,1.59,1.91,2.1,,,6.07,6.29
CdTe,II-VI,M_i_B,Ir,,,-0.16,0.24,0.73,1.16,1.71,2.1,,,4.22,5.09
CdTe,II-VI,M_i_B,Pt,,,-0.6,-0.2,0.16,1.48,1.77,2.18,,,2.76,3.17
CdTe,II-VI,M_i_B,Au,,,-0.69,-0.36,1.07,1.35,1.93,2.31,,,2.28,2
CdTe,II-VI,M_i_B,Hg,,,-0.6,0.32,0.62,1.7,2.14,2.53,,,1.63,1.97
CdTe,II-VI,M_i_neut,Li,,,-0.68,-0.39,1.3,1.79,2.17,2.67,,,1.15,1.63
CdTe,II-VI,M_i_neut,Na,,,-0.68,-0.36,1.36,1.8,2.2,2.69,,,1.47,2.09
CdTe,II-VI,M_i_neut,K,,,-0.61,-0.3,1.4,1.86,2.24,2.69,,,2.46,3.2
CdTe,II-VI,M_i_neut,Rb,,,-0.55,-0.24,1.44,1.89,2.27,2.71,,,3.02,3.88
CdTe,II-VI,M_i_neut,Cs,,,-0.55,-0.23,1.46,1.88,2.32,2.75,,,2.87,3.81
CdTe,II-VI,M_i_neut,Be,,,-0.64,1.06,1.75,1.77,2.08,2.46,,,3.39,4.12
CdTe,II-VI,M_i_neut,Mg,,,-0.6,1.04,1.49,1.87,2.3,2.58,,,2.72,3.68
CdTe,II-VI,M_i_neut,Ca,,,-0.58,1.09,1.54,1.88,2.29,2.64,,,3.45,4.4
CdTe,II-VI,M_i_neut,Sr,,,-0.53,1.13,1.57,1.92,2.32,2.68,,,3.92,4.87
CdTe,II-VI,M_i_neut,Ba,,,-0.5,1.18,1.58,1.94,2.32,2.64,,,4.42,5.37
CdTe,II-VI,M_i_neut,B,,,-0.86,-0.25,0.89,1.6,2,2.33,,,5.05,5.05
CdTe,II-VI,M_i_neut,Al,,,0.79,0.79,1.36,1.79,2.14,2.54,,,3.06,4.2
CdTe,II-VI,M_i_neut,Ga,,,0.24,0.24,1.34,1.78,2.15,2.56,,,2.36,3.19
CdTe,II-VI,M_i_neut,In,,,-0.2,0.2,1.42,1.82,2.19,2.61,,,2.7,3.5
CdTe,II-VI,M_i_neut,Tl,,,-0.52,-0.15,1.42,1.84,2.22,2.64,,,2.59,3.07
CdTe,II-VI,M_i_neut,C,,,0.33,0.33,1.2,1.2,1.88,2.44,,,6.66,6.66
CdTe,II-VI,M_i_neut,Si,,,-0.3,0.17,1.17,1.69,2.01,2.5,,,3.61,3.61
CdTe,II-VI,M_i_neut,Ge,,,-0.63,0.33,1.18,1.72,2.06,2.47,,,3.02,3.2
CdTe,II-VI,M_i_neut,Sn,,,-0.61,1.07,1.46,1.78,2.13,2.54,,,3.16,3.73
CdTe,II-VI,M_i_neut,Pb,,,-0.54,0.74,1.41,1.82,2.11,2.61,,,3.3,4.13
CdTe,II-VI,M_i_neut,N,,,-0.06,0.1,0.95,1.33,1.83,2.16,,,-0.22,-0.22
CdTe,II-VI,M_i_neut,P,,,-0.73,0.08,1.18,1.47,1.74,2.29,,,3.5,3.31
CdTe,II-VI,M_i_neut,As,,,-0.57,0.04,1.23,1.56,1.86,2.4,,,3.26,3.05
CdTe,II-VI,M_i_neut,Sb,,,-0.61,0.25,1.31,1.63,2.01,2.38,,,3.47,3.69
CdTe,II-VI,M_i_neut,Bi,,,-0.58,0.45,1.36,1.71,2.11,2.45,,,3.43,4
CdTe,II-VI,M_i_neut,O,,,-0.8,-0.49,-0.18,0.24,0.48,2.38,,,4.26,3.76
CdTe,II-VI,M_i_neut,S,,,-0.62,0.37,0.43,0.89,1.31,2.21,,,4.32,3.36
CdTe,II-VI,M_i_neut,Se,,,-0.54,0.41,0.63,1.07,1.5,2.25,,,3.63,2.68
CdTe,II-VI,M_i_neut,Te,,,-0.56,0.62,0.89,1.26,1.69,2.31,,,3.97,3.04
CdTe,II-VI,M_i_neut,F,,,-0.81,-0.51,-0.21,0.09,1.8,2.27,,,2.88,2.4
CdTe,II-VI,M_i_neut,Cl,,,-0.66,-0.35,0.04,0.45,1.9,2.34,,,3.45,2.98
CdTe,II-VI,M_i_neut,Br,,,-0.63,-0.35,-0.05,0.25,1.93,2.39,,,2.9,2.43
CdTe,II-VI,M_i_neut,I,,,-0.31,0.03,0.47,0.94,2.01,2.46,,,3.77,3.3
CdTe,II-VI,M_i_neut,Sc,,,0.41,1.56,1.56,1.78,2.16,2.56,,,2.45,3.88
CdTe,II-VI,M_i_neut,Ti,,,0.32,0.98,1.37,1.76,2.15,2.57,,,0.76,2.38
CdTe,II-VI,M_i_neut,V,,,0.16,0.63,1.2,1.7,2.07,2.46,,,-0.22,0.75
CdTe,II-VI,M_i_neut,Cr,,,-0.61,-0.13,1.3,1.74,2.13,2.58,,,-0.91,-0.33
CdTe,II-VI,M_i_neut,Mn,,,-0.72,0.7,1.29,1.72,2.02,2.45,,,0.63,0.99
CdTe,II-VI,M_i_neut,Fe,,,-0.74,0.32,1.2,1.67,2.31,2.32,,,0.61,1.14
CdTe,II-VI,M_i_neut,Co,,,-0.65,0.15,0.92,1.59,1.98,2.27,,,0.41,1
CdTe,II-VI,M_i_neut,Ni,,,-0.68,-0.18,0.44,1.56,1.99,2.37,,,-0.1,0.53
CdTe,II-VI,M_i_neut,Cu,,,-0.72,-0.38,1.28,1.74,2.1,2.45,,,0.67,0.8
CdTe,II-VI,M_i_neut,Zn,,,-0.64,1,1.01,1.7,2.08,2.46,,,1.67,2.6
CdTe,II-VI,M_i_neut,Y,,,0.73,1.08,1.51,1.84,2.19,2.57,,,4.43,5.99
CdTe,II-VI,M_i_neut,Zr,,,0.63,0.97,1.38,1.79,2.08,2.22,,,3.94,6.12
CdTe,II-VI,M_i_neut,Nb,,,-0.46,1.05,1.13,1.68,2.09,2.43,,,4.49,6.13
CdTe,II-VI,M_i_neut,Mo,,,-0.11,0.23,1.25,1.69,2,2.35,,,4.7,5.51
