AB,Type,Defect,Atom,Site,,Transition Levels ->,(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Formation Energies ->,Delta_H (A-rich),Delta_H (B-rich)
CdO,II-VI,O_i_neut,O,M_i_neut,,,-0.96,-0.57,-0.18,0.72,1.57,2.05,,,4.81,2.77
CdS,II-VI,V_Cd,V,M_A,,,-0.9,-0.53,-0.17,0.15,0.57,2.51,,,4.14,2.84
CdS,II-VI,S_Cd,S,M_A,,,-0.84,0.42,0.79,1.28,2.28,2.9,,,6.02,3.42
CdS,II-VI,V_S,V,M_B,,,-0.62,1.13,1.13,1.67,2.09,2.64,,,1.43,2.74
CdS,II-VI,Cd_S,Cd,M_B,,,-0.66,1.33,1.7,2.08,2.39,2.91,,,2.52,5.12
CdS,II-VI,Cd_i_A,Cd,M_i_A,,,-0.65,1.14,1.54,2.4,2.78,3.47,,,2.38,3.68
CdS,II-VI,Cd_i_B,Cd,M_i_B,,,-0.66,1.28,1.74,2.36,2.73,3.52,,,2.34,3.65
CdS,II-VI,Cd_i_neut,Cd,M_i_neut,,,-0.67,1.13,1.64,2.37,2.75,3.48,,,2.66,3.97
CdS,II-VI,S_i_A,S,M_i_A,,,-0.6,-0.31,0.52,0.98,1.46,2.67,,,4.79,3.49
CdS,II-VI,S_i_B,S,M_i_B,,,-0.1,-0.09,0.74,1.09,1.55,2.65,,,5.21,3.91
CdS,II-VI,S_i_neut,S,M_i_neut,,,-0.69,0.79,0.79,1.44,1.91,2.71,,,4.63,3.33
CdSe,II-VI,V_Cd,V,M_A,,,-0.94,-0.57,-0.23,0.08,0.42,2.06,,,3.47,2.19
CdSe,II-VI,Se_Cd,Se,M_A,,,-0.77,0.35,0.81,1.34,1.93,2.45,,,4.93,2.38
CdSe,II-VI,V_Se,V,M_B,,,-0.65,0.99,1.11,1.29,1.63,2.06,,,1.64,2.92
CdSe,II-VI,Cd_Se,Cd,M_B,,,-0.7,0.98,1.34,1.7,2,2.47,,,2.09,4.64
CdSe,II-VI,Cd_i_A,Cd,M_i_A,,,-0.65,0.76,1.17,1.96,2.3,2.93,,,1.79,3.07
CdSe,II-VI,Cd_i_B,Cd,M_i_B,,,-0.65,0.94,1.41,1.93,2.28,2.99,,,1.84,3.12
CdSe,II-VI,Cd_i_neut,Cd,M_i_neut,,,-0.67,0.87,1.35,1.99,2.31,2.98,,,2.15,3.42
CdSe,II-VI,Se_i_A,Se,M_i_A,,,-0.35,-0.16,0.55,0.95,1.37,2.26,,,4.28,3
CdSe,II-VI,Se_i_B,Se,M_i_B,,,-0.03,0.06,0.7,1.04,1.42,2.25,,,4.66,3.38
CdSe,II-VI,Se_i_neut,Se,M_i_neut,,,-0.63,0.7,0.83,1.34,1.79,2.34,,,4.15,2.87
CdTe,II-VI,V_Cd,V,M_A,,,-0.98,-0.69,-0.35,-0.04,0.25,1.9,,,2.67,1.72
CdTe,II-VI,Te_Cd,Te,M_A,,,-0.66,0.37,0.89,1.38,1.98,2.45,,,4.19,2.29
CdTe,II-VI,V_Te,V,M_B,,,-0.74,0.77,0.78,0.98,1.28,1.55,,,1.91,2.86
CdTe,II-VI,Cd_Te,Cd,M_B,,,-0.66,0.76,0.96,1.24,1.57,2.06,,,2.14,4.04
CdTe,II-VI,Cd_i_A,Cd,M_i_A,,,-0.63,0.42,0.86,1.73,2.1,2.44,,,1.64,2.59
CdTe,II-VI,Cd_i_B,Cd,M_i_B,,,-0.6,0.8,1.14,1.73,2.11,2.54,,,1.87,2.82
CdTe,II-VI,Cd_i_neut,Cd,M_i_neut,,,-0.65,0.75,1.11,1.77,2.13,2.52,,,2.18,3.13
CdTe,II-VI,Te_i_A,Te,M_i_A,,,-0.12,0.06,0.63,0.97,1.35,2.24,,,4.16,3.21
CdTe,II-VI,Te_i_B,Te,M_i_B,,,0.05,0.21,0.7,1.05,1.35,2.22,,,4.52,3.57
CdTe,II-VI,Te_i_neut,Te,M_i_neut,,,-0.56,0.62,0.89,1.26,1.69,2.31,,,4,3.04
BN,III-V,V_B,V,M_A,,,-2.53,-1.39,-0.39,1.33,2.79,4,,,7.66,0.01
BN,III-V,V_N,V,M_B,,,-0.96,-0.56,3.7,4.88,5.92,7.12,,,5.29,12.94
BN,III-V,B_N,B,M_B,,,-1.83,-0.66,0.57,1.97,3.46,7.21,,,5.09,20.39
BN,III-V,N_B,N,M_A,,,-2.55,0.85,1.84,3.46,5.7,7.01,,,12.47,-2.83
BN,III-V,B_i_A,B,M_i_A,,,1.26,2.26,3.83,4.4,6.24,7.89,,,16.33,23.98
BN,III-V,B_i_B,B,M_i_B,,,2.23,3.68,4.74,5.68,6.67,8.09,,,17.18,24.83
BN,III-V,B_i_neut,B,M_i_neut,,,1,1.69,4.33,5.69,6.66,7.75,,,13.77,21.42
BN,III-V,N_i_A,N,M_i_A,,,-1.44,-0.35,0.91,1.99,4.56,4.8,,,17.83,10.18
BN,III-V,N_i_B,N,M_i_B,,,-3,-0.08,3.07,3.07,3.07,8,,,21.42,13.77
