,Type,Site,Impurity,AB,(+1/0)_DFT,train_mean,train_std
463,II-VI,M_B,Pd,CdTe,-0.255119,-0.13013890899725128,0.04180378857432423
464,II-VI,M_A,Os,CdTe,0.556524,0.4553925471688943,0.033866410856743336
465,II-VI,M_A,Mo,CdTe,0.72411,0.5411370727048193,0.030217437031747018
466,II-VI,M_i_neut,Ga,CdTe,1.3502809999999998,1.3667400827251295,0.018655511204348555
467,II-VI,M_i_neut,P,CdTe,1.1824860000000001,0.7680324628064383,0.01594625748614564
468,III-V,M_A,Ta,AlAs,0.7910739999999999,0.6190018287994914,0.05335761831750056
469,II-VI,M_i_B,Mg,CdTe,1.500373,1.353381185152195,0.020722123422858393
470,II-VI,M_B,Hg,CdTe,1.010306,0.5348384026947663,0.0395394543460043
471,II-VI,M_i_neut,Mn,CdTe,1.29806,1.1006061960044524,0.013262392044168111
472,II-VI,M_i_B,Mn,CdTe,1.453937,1.1014418218490198,0.013838308171152341
473,III-V,M_i_neut,Se,GaSb,0.338037,0.357843999805658,0.0318966095119137
474,II-VI,M_A,Cl,CdTe,0.040882,0.25052071047531455,0.05339466649770317
475,II-VI,M_i_neut,K,CdTe,1.405664,1.3693267105574058,0.018051147025676346
476,II-VI,M_i_neut,Tl,ZnTe,1.6816369999999998,1.3896191764432853,0.024653677120365793
477,II-VI,M_B,Ge,CdTe,0.006926000000000001,0.37421668064212976,0.02407979011649677
478,II-VI,M_A,Nb,CdTe,1.0637510000000001,0.6168188059705709,0.03487943630848214
479,IV-IV,M_i_B,Pt,SiSn,-0.072818,-0.12671521618275033,0.06114063576483607
480,II-VI,M_i_B,Cr,CdTe,1.296649,1.1957575568359111,0.018189983788525477
481,II-VI,M_i_neut,Tl,CdTe,1.422509,1.3168805475589154,0.025225658148593035
482,II-VI,M_i_A,Te,CdTe,0.632271,0.9445656454595163,0.020778499438082087
483,II-VI,M_A,Ru,CdTe,0.377092,0.46961067188160666,0.03188721377090449
484,II-VI,M_i_A,O,ZnO,-0.013758000000000001,0.09510116320199413,0.05034110172327674
485,IV-IV,M_A,Hf,Ge,-0.239058,-0.09104534881506068,0.04108444862300233
486,II-VI,M_i_A,As,CdTe,0.565529,0.9908481226360559,0.016293179847547606
487,II-VI,M_B,Ag,CdTe,1.01417,0.5049796199568306,0.026334755149806467
488,II-VI,M_i_B,Ni,CdTe,0.6859,0.5499829767011446,0.026444755377939687
489,II-VI,M_i_B,Au,ZnSe,1.563238,1.351304237565932,0.042780736353391025
490,II-VI,M_i_neut,O,CdO,-0.174464,-0.014612603074080974,0.034233049104731225
491,II-VI,M_i_B,Pt,CdTe,0.163917,0.3259710612682559,0.036578677549638366
492,II-VI,M_A,Zr,CdTe,1.063388,0.6383750272168401,0.029571796307756575
493,II-VI,M_i_neut,Co,CdSe,1.2509940000000002,1.043494516019703,0.018463474391951944
494,IV-IV,M_B,Ca,SiSn,-0.103727,-0.0038636112096717802,0.05131013246140967
495,II-VI,M_i_neut,Zn,CdTe,1.017376,1.0239541175296343,0.012984955794339085
496,IV-IV,M_i_A,W,Si,0.12980999999999998,0.32409212376076413,0.03561017737568461
497,II-VI,M_A,S,CdTe,0.459255,0.34038878835271674,0.031105228892852707
498,IV-IV,M_i_A,Sr,SiSn,0.634782,0.7656074853373557,0.05019748899910652
499,III-V,M_i_neut,Sc,GaAs,1.073541,1.0152528217529238,0.03402793717715945
