,Type,Site,Impurity,AB,(+1/0)_DFT,train_mean,train_std
155,II-VI,M_B,C,CdTe,-0.287075,-0.07504422759175888,0.03182450578374794
156,II-VI,M_i_A,Mo,CdTe,1.700763,0.8966912790012603,0.015925856478440317
157,II-VI,M_B,Rh,ZnSe,-0.046465,0.8251416713307353,0.03140633991059501
158,II-VI,M_i_B,Nb,CdTe,1.213552,1.0743069679934858,0.019117456818507707
159,III-V,M_i_neut,Sr,AlAs,1.7925689999999999,1.3435057660201342,0.039032921328982256
160,IV-IV,M_i_A,Fe,SnC,0.642886,1.161757047640503,0.04017755618635258
161,II-VI,M_i_neut,Re,CdTe,0.889301,0.941503896374399,0.022363041815533342
162,II-VI,M_i_B,La,CdTe,1.680895,1.5427868232850828,0.021823385436246234
163,II-VI,M_B,C,ZnSe,-0.31700900000000004,0.4644524711582781,0.0394830340242193
164,II-VI,M_i_A,Os,CdTe,0.718629,0.7760607256280251,0.022415080190354958
165,IV-IV,M_i_neut,Ta,SiGe,1.515896,0.5729825469985277,0.02672774148879253
166,II-VI,M_i_B,Ag,ZnO,1.381956,1.5710912269669193,0.03851364869013063
167,II-VI,M_i_B,Sr,CdO,1.1097299999999999,1.567353200915146,0.039582803992116306
168,III-V,M_i_B,Hf,InP,1.4184459999999999,1.208170529159994,0.039238957058097254
169,II-VI,M_i_B,Ta,CdTe,1.325782,1.082707920392657,0.018630903746328996
170,II-VI,M_B,Cr,CdTe,0.9118700000000001,0.5655067407081404,0.022068733031136954
171,IV-IV,M_B,Pd,SiC,1.880991,0.8050972138228975,0.0581555280169539
172,III-V,M_i_B,B,AlP,1.5473700000000001,1.3350528363244727,0.032999681744224345
173,II-VI,M_i_A,Nb,CdTe,1.448943,1.0780902998164512,0.018242117728158955
174,III-V,M_i_B,Ta,InAs,0.969859,0.5888501414122882,0.027251510872441254
175,III-V,M_i_B,W,InAs,0.736731,0.5269397219022067,0.03466295510641165
176,III-V,M_i_A,Te,AlAs,0.942825,1.1412537176374038,0.03394185808479323
177,II-VI,M_i_B,Ti,CdS,1.8983330000000003,1.8092316025026882,0.03027323825501107
178,II-VI,M_i_A,Zr,ZnTe,1.5411620000000001,1.5199908618159577,0.020968849029076055
179,II-VI,M_i_A,Zr,CdTe,1.367175,1.3025114650793843,0.017877362407045426
180,III-V,M_i_neut,Mo,AlP,1.238743,1.2679854665711052,0.02970787020181818
181,III-V,M_B,Mg,GaP,0.79871,1.0000494209156734,0.06327075587188116
182,II-VI,M_A,Sb,ZnO,1.620392,0.9207799808057399,0.045582720225756754
183,II-VI,M_B,Rb,CdTe,1.612854,0.9077114830538129,0.03444608631828974
184,II-VI,M_A,Ir,CdO,0.9429219999999999,0.6096953758501733,0.053105501494301724
185,II-VI,M_i_B,Rh,CdS,1.097274,1.5285867440778116,0.03490123084944641
186,II-VI,M_i_neut,Ta,CdTe,1.413564,1.079504170634524,0.021279718813748388
187,IV-IV,M_A,Bi,SiC,1.624056,1.0648479332887049,0.062483719583024115
188,II-VI,M_i_neut,Sc,CdTe,1.4589450000000002,1.4813996307599144,0.01883078356326499
189,II-VI,M_B,Fe,CdTe,0.137035,0.4211363810874335,0.023961346870803004
190,II-VI,M_i_B,As,ZnSe,1.200391,1.277950862007609,0.019549064235674256
191,II-VI,M_B,Co,CdTe,0.409337,0.3656946421495832,0.024532143315914787
192,II-VI,M_i_neut,Ga,CdS,1.7867979999999999,1.9028241892518314,0.029506123207229805
193,II-VI,M_i_neut,Mo,CdTe,1.255908,0.8960096889721502,0.015672200925503994
194,II-VI,M_i_neut,Co,CdO,0.6896220000000001,0.9665470059201196,0.023674344220509045
195,II-VI,M_B,K,CdTe,1.5163440000000001,0.9299299639816837,0.038754393909706294
196,II-VI,M_i_B,Y,CdTe,1.6827459999999999,1.5482272346684565,0.018696983679854465
197,II-VI,M_i_A,Te,ZnSe,1.085034,1.1913550413110223,0.019889569163696143
