Type,AB,Site,Impurity,true val,mean,std
II-VI,CdO,M_B,Tl,0,0.883102084,0.110988366
II-VI,CdO,M_B,C,0,0.704226681,0.073578158
II-VI,CdO,M_B,Si,0,0.722642482,0.06895788
II-VI,CdO,M_B,Ge,0,0.773298445,0.08914001
II-VI,CdO,M_B,Sn,0,0.882762709,0.090216603
II-VI,CdO,M_B,Pb,0,0.855543681,0.105580751
II-VI,CdO,M_B,N,0,0.675297141,0.071587412
II-VI,CdO,M_B,P,0,1.000634749,0.099701237
II-VI,CdO,M_B,As,0,0.77001864,0.086132728
II-VI,CdO,M_B,Sb,0,0.858377155,0.106108992
II-VI,CdO,M_B,Bi,0,0.863582861,0.113539176
II-VI,CdO,M_B,O,0,0.857931066,0.094295239
II-VI,CdO,M_B,S,0,0.997716319,0.099260654
II-VI,CdO,M_B,Se,0,0.813594582,0.089437492
II-VI,CdO,M_B,Te,0,0.860805438,0.084112567
II-VI,CdO,M_B,F,0,0.774550501,0.103166335
II-VI,CdO,M_B,Cl,0,0.61532974,0.095785439
II-VI,CdO,M_B,Br,0,0.708430175,0.111314349
II-VI,CdO,M_B,I,0,0.784012723,0.120233657
II-VI,CdO,M_B,Sc,0,0.800862009,0.077254834
II-VI,CdO,M_B,Ti,0,0.814664138,0.071697882
II-VI,CdO,M_B,V,0,1.07144263,0.076743195
II-VI,CdO,M_B,Cr,0,0.793943502,0.0773436
II-VI,CdO,M_B,Mn,0,0.843649609,0.072181909
II-VI,CdO,M_B,Fe,0,0.801797007,0.072861755
II-VI,CdO,M_B,Co,0,0.785396676,0.085583812
II-VI,CdO,M_B,Ni,0,0.775613755,0.095018083
II-VI,CdO,M_B,Cu,0,0.764148044,0.093397061
II-VI,CdO,M_B,Zn,0,0.790321923,0.078475723
II-VI,CdO,M_B,Y,0,0.857260973,0.119582832
II-VI,CdO,M_B,Zr,0,0.86389802,0.117063923
II-VI,CdO,M_B,Nb,0,1.130122575,0.065448624
II-VI,CdO,M_B,Mo,0,1.133823744,0.071512488
II-VI,CdO,M_B,Tc,0,1.154607787,0.072402826
II-VI,CdO,M_B,Ru,0,0.854251196,0.126833035
II-VI,CdO,M_B,Rh,0,0.859297568,0.13302746
II-VI,CdO,M_B,Pd,0,0.863827209,0.119556087
II-VI,CdO,M_B,Ag,0,0.844952156,0.113249164
II-VI,CdO,M_B,Cd,0,0.87727882,0.112275893
II-VI,CdO,M_B,La,0,0.87927724,0.125406289
II-VI,CdO,M_B,Hf,0,0.930541637,0.117532643
II-VI,CdO,M_B,Ta,0,1.164085267,0.03320635
II-VI,CdO,M_B,W,0,1.157227857,0.043567633
