(+1/0),Type,AB,Site,M,Ion_pot_1.3-Ion_pot_1.1,Ion_pot_1.3-Ion_Energy.1,Electronegativity.3-Ion_pot_1.1,Electronegativity.3-Ion_Energy.1,Electronegativity.3-Elec_cond,Elec_Aff.2+Therm_cond.1,Group.2+At_rad_2.1,At_wt.3-Therm_cond.1,abs(Valence.3-Valence.2),abs(Elec_Aff.3-Elec_Aff.2),abs(Electronegativity.3-Electronegativity.2),At_wt.3-Density.2,abs(Ion_rad.3-Ion_rad.2),At_vol.1+Electronegativity,abs(Ox_state.3-Ox_state.2),MP/Electronegativity.3,Period.3-CM1,Ox_state.3/CM1,Electronegativity.3*Electronegativity,CM1/Cov_rad.2,abs(Cov_rad.3-At_rad_1.2),Heat_vap/Electronegativity.3,At_wt.3-CM5,PBE_latt_const+PBE_delta_H,Electronegativity.3*ICSD_vol.1,Electronegativity.3*Heat_vap.1,Thermal_expn.1/CM8,Electronegativity.3-Therm_cond,At_rad_1.1-Cov_rad.1,Ox_state.1*Heat_fusion,abs(Ion_pot_2.1-BP),At_vol.2+Valence.1,abs(At_rad_1-Eps_ion),Ion_pot_1.1/Period.1,At_wt.3+Ion_pot_1,At_vol.2+Ox_state.1,Therm_cond/Valence.1,abs(Density.2-Ion_pot_1.1),MP.1/Thermal_expn.1,Thermal_expn.3+Valence.1,abs(At_rad_2.1-Period)
0.48322556,II-VI,ZnTe,M_i_A,P,-1.116386777,-1.116686159,-0.809659432,-0.809943344,0.020218534,-0.41758141,1.392746573,0.283842722,-0.578849158,-0.767638987,-0.614107316,-0.043919034,-0.162602453,0.353631822,-0.277921422,-0.300151902,0.582250027,-0.309885596,-0.258345669,0.175012973,-0.587666132,-0.11156126,0.555299901,0.572949704,0.675651824,-0.118652816,0.840747679,-0.221586503,-0.3566514,-0.388238491,-0.497395226,0.941052644,-0.520249706,-0.204329482,0.249969885,0.200496946,0.251708658,-0.758191062,0.34640461,1.082025434,-0.940268638
0.94347232,II-VI,CdTe,M_A,W,0.101831797,0.101561408,-1.372984191,-1.373274553,-0.744613156,-0.500781431,0.191002014,-0.471195488,1.537054468,1.171471626,0.296943241,2.442687499,1.852664674,0.568635194,1.141332069,-0.675048603,3.228754767,-0.284816463,-0.607183498,0.005624221,0.414232877,-0.225460265,-0.103626952,0.999667243,1.873046733,-0.433082067,-2.045823571,-1.084987182,-0.3566514,-0.418747652,-0.348197522,0.450792109,-1.272975274,-0.204329482,0.848209429,-0.289763589,-1.987278199,1.978944204,0.34640461,0.173723991,-0.848028299
1.19944169,II-VI,CdTe,M_i_A,Si,-0.565804406,-0.566090684,-0.557675434,-0.55795646,0.168037071,0.022596481,1.259219399,0.311966833,-0.742786022,-0.566146604,-0.780401306,0.110315217,-0.241777917,0.568635194,-0.537634526,-0.003235789,0.597276216,-0.314961442,0.025980933,0.154629416,-0.648381551,-0.049471967,0.581817582,0.999667243,0.140038306,0.021996319,0.885971489,-0.163176116,-0.3566514,-0.418747652,-0.348197522,0.619462735,-1.272975274,-0.204329482,0.038191864,-0.121092963,-1.987278199,-0.865320869,0.34640461,0.754521145,-0.848028299
0.65673592,II-VI,CdTe,M_B,Tl,-0.44620938,-0.446492812,-1.068500487,-1.068787362,-0.403776486,-0.71411482,1.125692226,-0.498809517,1.476190832,1.718721405,0.391890448,0.81380513,0.84715188,0.568635194,-0.707984458,-0.424154629,0.142092824,-0.303364158,-0.370723077,-0.250714085,1.608116192,-0.159736,4.159831814,0.999667243,1.225840603,-0.263129333,-0.978219908,-0.740729322,-0.3566514,-0.418747652,-0.348197522,0.954178762,-1.272975274,-0.204329482,0.876770365,0.213623065,-1.987278199,0.414008787,0.34640461,1.097707116,-0.848028299
0.12075636,IV-IV,SiSn,M_i_A,Mo,-0.835626212,-0.835809937,-1.304948439,-1.305128317,-0.981864477,1.277146327,0.861246451,1.147253557,-0.377836717,-0.702432911,-0.631310142,0.711646222,-0.532087953,0.73349295,-0.018208317,0.299488713,-0.493799907,-0.307897943,0.283818397,0.048743261,-0.29152875,0.148086216,-0.1055925,0.766096352,0.172990366,0.391486614,0.187109052,0.185368975,0.416529669,0.609015155,0.084800813,-1.021961764,-0.296536278,-0.076987335,0.337971899,-0.298295566,0.009141858,0.944210691,0.092511558,-0.666432451,1.420553736
1.38808616,II-VI,CdTe,M_i_neut,Hf,-0.211875438,-0.212153293,-0.036329231,-0.036604288,0.75162792,-0.927448208,-0.076052332,-1.15258028,-0.742786022,-0.507752597,-0.487534093,0.059413234,-0.743222525,0.568635194,-0.537634526,0.426352458,-0.909432286,-0.310862599,0.430855613,-0.053896289,-0.692896983,0.063063106,-0.931838417,0.999667243,-0.968127595,0.312994529,-0.908112055,0.426272599,-0.3566514,-0.418747652,-0.348197522,0.717908625,-1.272975274,-0.204329482,1.552959436,-0.022647072,-1.987278199,0.720694117,0.34640461,0.76320896,-0.848028299
1.56956552,II-VI,CdTe,M_i_B,Ca,-0.085253283,-0.085528124,0.224343871,0.224071798,1.043423345,-2.036781827,-0.343106679,0.195191196,-0.34076114,0.057690594,-0.315505827,-0.245708968,-0.731343919,0.568635194,-0.486986371,0.641146581,0.064621092,-0.294488345,0.633292953,-0.204370641,-0.486504437,0.119330643,0.473663553,0.999667243,-1.522210546,0.458493634,0.317115732,0.720996956,-0.3566514,-0.418747652,-0.348197522,1.525164927,-1.272975274,-0.204329482,0.158971828,0.78460923,-1.987278199,-0.701475282,0.34640461,0.806384766,-0.848028299
1.24614318,II-VI,ZnTe,M_A,Hf,0.558023248,0.557763716,-0.577318786,-0.577600037,0.28029883,-0.927448208,-0.076052332,-1.137924153,1.939079349,1.388949776,1.324803092,0.083283642,0.349703994,0.353631822,1.660758279,-0.053875044,2.315659621,-0.273878649,-0.023478407,0.014342247,-0.817691337,-0.056682425,-0.905452783,0.572949704,0.181791929,0.011032049,-2.182416833,0.041104382,-0.3566514,-0.388238491,-0.497395226,0.717908625,-0.520249706,-0.204329482,1.720490251,-0.022647072,0.251708658,0.720694117,0.34640461,0.207733896,-0.940268638
1.49331419,II-VI,CdTe,M_i_neut,Mg,-0.446727705,-0.447011149,-0.045018334,-0.045293491,0.741901406,-2.563004185,-0.343106679,0.348779032,-0.34076114,0.325913646,-0.493268369,0.044834212,-0.646452513,0.568635194,-0.486986371,0.419192654,0.574498515,-0.293392082,0.424107702,0.015033926,-0.444072951,0.061187521,0.628650781,0.999667243,-0.949658163,0.308144559,0.842213354,0.416448453,-0.3566514,-0.418747652,-0.348197522,0.742191945,-1.272975274,-0.204329482,0.000117346,0.001636247,-1.987278199,-0.741386387,0.34640461,0.812966444,-0.848028299
0.31878902,II-VI,CdTe,M_i_B,I,-1.108133937,-1.108433122,-1.218047291,-1.218335879,-0.571178005,1.172463444,1.659800919,-0.650272204,-0.176824276,0.019957011,-0.344596365,-0.904108655,0.324328939,0.568635194,-0.227273266,-0.547380902,-0.37214625,-0.30110532,-0.486860328,0.044858357,0.100420486,-0.192016394,-0.415186556,0.999667243,1.543715113,-0.346601413,-1.126902731,-0.909811155,-0.3566514,-0.418747652,-0.348197522,1.514664032,-1.272975274,-0.204329482,1.033426825,0.774108335,-1.987278199,-1.039595654,0.34640461,0.976718588,-0.848028299
