(0/-1),Type,AB,Site,M,Ion_Energy.3-Ion_pot_1.1,Ion_Energy.3-Ion_Energy.1,Valence.1-Cov_rad.1,Cov_rad.3-Therm_cond.1,At_vol.1+Mend_num,Electronegativity.3+Therm_cond.1,Electronegativity.2-Ion_pot_1.1,Electronegativity.2-Ion_Energy.1,Period.3-Therm_cond.1,Ion_pot_1.1+Ion_Energy,Ion_Energy.1+Ion_Energy,Elec_Aff.2+Therm_cond.1,Ion_pot_1.1+Ion_pot_1,Ion_Energy.1+Ion_pot_1,At_rad_1.3+Elec_cond,ICSD_vol.3-Therm_cond.1,PBE_gap,Therm_cond.1^-1,Elec_Aff.2-Ion_pot_1.1,MP.1-Mend_num,Elec_Aff.2-Ion_Energy.1,Cov_rad.3+Elec_cond,Ion_pot_1.1/At_wt.1,Electronegativity+At_rad_2,Thermal_expn.1/Ion_Energy,abs(Group.3-Group.2),abs(Ion_rad.3-Ion_rad.2),abs(Electronegativity.3-Electronegativity.2),Ion_pot_2/MP.1,At_wt.3-Elec_Aff.2,abs(Thermal_expn.3-Elec_Aff.3),MP/Electronegativity.3,abs(Elec_Aff.3-CM5),abs(Electronegativity.2-Electronegativity),Ion_pot_2.2-Therm_cond,Elec_Aff.2*Electronegativity,Period.3-Elec_Aff.2,CM1/Cov_rad.3,CM1/Cov_rad.2,Therm_cond/Ion_pot_2.3,Therm_cond.1/At_num.3,MP.1+Elec_cond,CM1/At_rad_2.2,Ion_pot_2.2*CM5,Ox_state.3^-1,abs(Electronegativity.3-At_vol.3),abs(Valence.3-Ox_state.2),Heat_fusion/Elec_Aff.2,abs(At_rad_2.3-At_rad_2.2),At_vol/At_rad_1.1,abs(Elec_Aff.2-Elec_cond),BP/Group.3,Heat_vap.3+Ion_pot_2.2,abs(Group.2-BP),Electronegativity.3*Therm_cond.1,Ion_pot_2/Eps_ion,Electronegativity.3*Heat_vap.1,Group.2*Mend_num.1,exp(PBE_gap),abs(Ion_rad.3-At_vol.2),abs(Group.3-BP),abs(Valence.3-Group),At_wt.3-Density.2,At_vol.1*Cov_rad,abs(At_vol.3-CM5),MP/Cov_rad.3,abs(At_rad_2.2-Group.1)
1.65932519,II-VI,CdTe,M_i_B,Nb,-0.253280183,-0.253556798,-0.179374358,-0.363119215,0.214062382,-0.568907864,-0.268010072,-0.268300669,-0.55898436,0.243367012,0.243095736,-0.244781366,0.355248612,0.354995836,0.115405242,-0.105645967,-0.527598077,-0.618316648,-0.647247922,-0.995528143,-0.647538519,0.233693079,-0.195388148,-0.32747911,-0.146914161,-0.536756126,-0.576074322,-0.659562359,0.213433305,0.312347037,-0.510527798,0.211558334,-0.457914017,-0.689270147,0.289684769,-0.200945555,0.054771542,0.011489921,0.031967204,1.029941107,0.125054353,0.164960591,-0.037929164,0.409372082,0.406389206,-0.933592802,0.125620559,-0.219906076,-0.657627714,0.749925992,-0.992862019,0.053126757,1.073713311,-0.386081974,0.098143854,0.351891116,0.167495424,-1.020839835,-0.31873192,-0.962764342,-0.223655824,0.867368513,0.408958601,1.168768147,-0.609226947,0.016180682,-0.011825796
2.12939202,III-V,AlAs,M_i_neut,Sr,0.275162412,0.276572385,0.164159441,-0.352376385,-0.708154318,-0.045950548,0.712717143,0.714219614,0.545650955,-1.026552294,-1.025121271,-0.993401493,-0.79499599,-0.793524333,2.700887854,-0.387714369,0.392740429,0.212052684,1.495475365,-0.404540696,1.496977836,2.721042037,-0.113083899,-1.206824952,0.995032575,-0.335764121,-0.5026148,-0.286834449,0.144573467,-1.576656643,0.94299732,2.573104089,0.739602195,-1.129008924,2.089140042,2.846845253,-1.803315396,-0.029530785,-0.271509101,-0.015469768,0.016397483,1.969045316,-0.086765287,0.634372345,0.369092713,1.048779027,-0.932442709,3.307480031,-0.419886048,-0.441981046,3.884369693,-0.439095839,-1.15251828,0.25896488,-1.121943158,0.034830897,0.557532273,-0.180450274,-0.162846326,0.269865737,0.007705689,-0.352503401,-0.78921128,-0.026083592,0.692451532,-3.803820547,-0.225173941
1.6266765,IV-IV,SnC,M_i_A,Fe,0.210595002,0.210426396,-0.455437824,-0.053398855,-0.686152196,-0.375848948,0.224677781,0.224493026,-0.124009813,0.168888684,0.168717951,-0.772178431,0.36255418,0.362415086,-0.558920196,0.112453857,-0.484608581,-0.600911336,0.610559573,-0.89375135,0.610374818,-0.457689667,-0.219095465,1.366553941,0.475498918,-0.737748132,-0.496898858,-0.791450697,0.198951214,0.162375848,-0.742458036,0.055939926,-0.85870061,-0.463717046,-0.186005181,-0.350378427,0.003158909,0.028354685,0.15692498,0.037121693,0.37232149,2.091588582,0.044544988,0.408295583,-1.635616284,-0.383365421,0.416156074,0.411424743,-0.702455366,-0.350183207,-0.740314381,0.022281663,0.046218744,-0.993124414,-0.099731999,0.351063516,0.311428462,0.033210529,-0.314197522,-0.732121585,-0.983459611,-0.901159022,0.848720436,-2.440414674,-0.51604941,0.238311345,-0.119869538
1.53567961,II-VI,CdTe,M_i_neut,Re,-0.488329892,-0.4886111,-0.179374358,-0.248512555,0.214062382,-0.29731691,-0.598165954,-0.598456551,-1.009027385,0.243367012,0.243095736,-0.827892627,0.355248612,0.354995836,0.01479238,0.018178099,-0.527598077,-0.618316648,-0.06413666,-0.995528143,-0.064427258,0.113973561,-0.195388148,-0.32747911,-0.146914161,-0.670750796,-0.47930431,-0.780401306,0.213433305,-1.247898806,-0.678567334,-0.003235789,-0.504973278,-0.167585284,0.421264882,0.412968595,-0.977499872,0.020044433,0.094919543,1.471837347,-0.458978053,0.164960591,-0.016187432,0.27606396,0.40007705,-0.42651118,0.830996072,0.451934869,-0.728307669,0.749925992,-0.105237683,0.029454513,0.981287678,0.086938743,-0.156998244,0.351891116,0.021996319,-0.363060192,-0.31873192,-0.90578679,0.159932205,1.893748576,1.571959925,1.168768147,-0.28676086,0.114102565,0.223953204
2.11733702,II-VI,CdTe,M_i_B,La,0.054977717,0.054707124,-0.179374358,-0.191209226,0.214062382,-1.021559455,0.282249732,0.281959135,-1.009027385,0.243367012,0.243095736,-0.571892561,0.355248612,0.354995836,0.87938087,-0.808529635,-0.527598077,-0.618316648,-0.320136726,-0.995528143,-0.320427324,0.054113802,-0.195388148,-0.32747911,-0.146914161,-0.402761456,-0.590587538,-0.372848582,0.213433305,-0.49790189,-0.896237892,0.56954854,-0.907619709,-0.888007361,0.539151483,0.14344531,-0.72412438,0.023683151,0.121902888,1.867745549,-0.149784426,0.164960591,-0.239629968,0.437038904,-1.635616284,-0.074113101,-0.579754953,0.156980308,-0.233547985,0.749925992,-0.494926416,0.076799002,-0.230867799,-0.859102691,0.523380685,0.351891116,0.409993932,-1.678619478,-0.31873192,-0.745818868,-0.607243853,-0.15901155,-0.83505759,1.168768147,-0.373443602,0.163063507,-1.273594346
0.14258322,II-VI,ZnSe,M_B,C,-1.223680565,-1.22391909,-0.892804776,0.888748786,-1.098143076,0.079403663,-1.067330944,-1.067560517,1.049066779,0.704544979,0.704393558,-0.065102248,0.807940883,0.80782457,-0.917030996,0.921081286,0.04458606,-0.609864736,-0.588097437,-1.086787103,-0.58832701,-0.952364066,-0.127247879,-1.352539223,-0.595430563,2.339747369,0.619663168,0.249856879,0.220550278,1.597653576,-0.063014896,-0.423674156,-0.550071708,1.213653918,-0.26817259,-0.517868258,1.873401559,0.055087993,0.310769268,0.173370489,0.886787924,0.139744976,0.156653004,-0.250175931,0.433226786,0.680975557,1.342811585,-0.492918201,-0.25074326,-0.30669012,-1.084380351,0.03761037,2.414456885,1.570627429,-0.525859907,0.348032528,-0.254293563,1.645025012,-0.239027734,-0.862860988,-0.107168445,-0.820783461,0.755978142,-0.032782123,-0.055804565,1.414974659,2.49600539
1.43551336,II-VI,CdTe,M_i_A,Os,-0.68420465,-0.684489684,-0.179374358,-0.210310336,0.214062382,-0.025725956,-0.928321836,-0.928612434,-1.009027385,0.243367012,0.243095736,-0.145225784,0.355248612,0.354995836,-0.036366702,0.050955058,-0.527598077,-0.618316648,-0.746803503,-0.995528143,-0.7470941,0.074067055,-0.195388148,-0.32747911,-0.146914161,-0.737748132,-0.567277048,-0.60837304,0.213433305,-0.582220369,-0.382120496,-0.218029913,-0.468170749,0.35409958,0.161164658,-0.305760166,-0.301831894,0.037122778,0.219468839,0.598321523,-0.476155476,0.164960591,-0.002804986,0.280699427,0.419131686,-0.040092033,0.749146818,-0.334610627,-0.760434921,0.749925992,-1.144407637,0.017618391,1.003400481,0.323449101,-0.412140343,0.351891116,-0.123502786,-0.034170371,-0.31873192,-0.679945536,0.35172622,2.406938608,1.848801913,1.168768147,-0.320173136,0.146743193,0.331125477
1.51589577,IV-IV,SiGe,M_i_neut,Ta,-0.834582946,-0.834905591,1.149780616,0.964825712,0.944333165,0.682877081,-0.525726291,-0.526053976,0.325112434,-0.570671845,-0.571081488,0.862439404,-0.436764507,-0.437181956,-0.749500753,1.238937864,-0.665749768,0.131026338,-0.759016036,1.068503102,-0.759343721,-0.629118181,-0.043238517,-0.214398242,0.207182769,-0.536756126,-0.576074322,-0.602219604,0.209427765,-0.855384346,-0.814884895,-0.023836302,-0.836037782,-0.266246693,0.802898867,-0.040035602,-0.653742299,0.010802393,0.027201665,-0.021743928,0.314392145,-0.445714852,-0.031609193,0.326808788,0.406389206,-1.055857243,0.125620559,-0.02559797,-0.651202264,0.486126843,-0.40138635,-0.421770054,1.29787472,-0.58561777,-0.49433088,0.353706798,-0.152236674,0.682471575,-0.332051516,-0.958691372,-0.69676361,-0.387968991,0.730533531,0.060911029,-0.533320401,-0.071962747,0.673205282
2.37045073,II-VI,ZnO,M_i_B,Ag,1.010238214,1.010110293,1.230432359,-0.411174438,-1.707050546,-0.318733067,0.895884711,0.895726765,-0.607263762,2.031799842,2.031885585,-0.082913087,2.16952337,2.169698518,0.270685241,-0.113583629,-0.485214067,-0.566452139,0.668618277,-0.649886448,0.668460332,0.362824808,-0.074181469,-1.352539223,0.48463515,-0.686808395,-0.599384812,-0.76319848,0.229415237,0.377546722,-0.301245686,-0.060684323,-0.059992891,0.1355052,-0.0468579,-0.55100239,0.263806323,0.011534527,0.032276385,0.088546887,0.027710049,-0.189475073,0.038351939,0.008205834,0.381372571,-0.495883986,-0.249825413,-0.524455984,-0.721731717,1.101416727,-1.121184287,-0.021712385,0.169245142,0.861096354,-0.199406281,0.333139135,-0.034788313,0.519058494,-0.31426275,0.640105691,0.762815393,-0.672201582,0.582006288,-0.135342469,-0.71347276,0.031168821,0.695511205
1.96132181,II-VI,CdO,M_i_B,Sr,1.454629071,1.454509832,1.230432359,-1.499937704,-1.401406415,-1.205930184,1.974393926,1.974235981,-0.607263762,1.825704743,1.825765185,-2.171446958,1.978511334,1.978656278,1.344928518,-1.533918504,-0.62952153,-0.566452139,2.757152148,-0.331104906,2.756994203,1.3710285,-0.074181469,-0.32747911,0.46421831,-0.335764121,-0.5026148,-0.286834449,0.219642173,-1.576656643,0.94299732,0.676945602,0.630399494,-0.627164929,0.541369985,1.775558538,-1.803315396,-0.051453774,-0.43456234,1.875196125,0.166581279,-0.335705745,-0.136943607,0.78755474,0.369092713,1.048779027,-0.932442709,1.94309404,-0.419886048,-1.331494791,1.864855355,0.088635124,-1.15251828,-1.095613049,0.728438217,0.343561088,0.676460394,-1.093979787,-0.328734649,0.269865737,-0.799037868,-0.672201582,-0.78921128,-0.304830367,0.795203027,-0.914077208,-0.804900616
