(-1/-2),Type,AB,Site,M,At_vol.1+Mend_num,Valence.1+Ion_pot_2.1,At_rad_2.1-Elec_cond,Ion_pot_1.1+Ion_Energy,Ion_Energy.1+Ion_Energy,Ox_state.1+Ion_pot_2.1,At_rad_2.1+ICSD_vol,Ox_state.1+Ion_pot_1.1,Ox_state.1+Ion_Energy.1,abs(Electronegativity.1-Ion_rad.1),PBE_gap,Ion_pot_1.1-ICSD_vol,Ion_Energy.1-ICSD_vol,Therm_cond.1^-1,At_rad_2.3-Mend_num,Electronegativity.2+At_rad_2.1,Thermal_expn.1-Ion_pot_2.1,Ion_pot_2.3+At_rad_2.1,ICSD_vol+BP,Period.3-Mend_num,At_rad_1.3-Electronegativity,At_rad_2.3-Electronegativity,At_wt.3-Electronegativity.2,Ion_pot_1.3+ICSD_vol,MP/At_rad_2.3,Heat_fusion.3+Ion_pot_1.3,Cov_rad/Electronegativity.1,Group*Eps_elec,Ion_rad/Density.1,BP/Eps_elec,PBE_latt_const^3,Ion_rad/At_wt.1,abs(Elec_Aff.2-Group.1),Thermal_expn.1/PBE_latt_const,abs(Elec_Aff.2-ICSD_vol.1),abs(Electronegativity.3-Ion_rad.3),abs(Ion_rad.3-Electronegativity.2),At_rad_1.1*At_wt,abs(Cov_rad.3-Ion_pot_1),Ion_rad/Heat_fusion.1,CM5-Therm_cond,abs(Group.2-ICSD_vol.1),Ox_state.3*Elec_Aff.2,Mend_num.3-Ox_state.2,Mend_num.3-Electronegativity.2,Group.3^3,abs(Valence.3-CM5),abs(Group.2-Mend_num.1)
0.46425173,IV-IV,SiSn,M_B,Ca,1.61537405,-1.771384863,-1.609597872,-0.761211537,-0.761485841,-0.823569197,1.262363002,-0.987722619,-0.988114414,0.600088555,-0.577348832,1.118380537,1.1185165,0.096039928,1.483278688,0.293487331,-1.217657656,1.341240119,0.352404842,1.985034431,0.339220228,0.997098833,0.544622705,0.656891484,-0.398339443,0.4769661,0.313738683,0.734383695,-0.240675916,0.413416344,0.208669389,-0.271937933,-0.257546327,-0.107971867,1.954718453,-0.988388643,0.249314783,-1.15017564,-0.583547265,0.321846861,0.730232099,0.759164302,1.757594011,-0.100338798,-0.77785038,-0.039793569,-0.939822336,-1.130812012
2.08161708,II-VI,CdTe,M_i_neut,Zn,0.214062382,0.707067028,-0.170100483,0.243367012,0.243095736,-0.218059837,0.797219549,-0.32860109,-0.329009325,1.146253059,-0.527598077,0.771783007,0.772037955,-0.618316648,-0.369887478,0.338580639,-0.069007373,0.415314165,-0.92238924,-0.479009352,-0.196642319,-0.106633795,0.232866034,0.813940589,0.321229973,0.133697433,-0.018510329,0.378429297,0.234447493,0.039319344,1.2940629,0.307883099,1.147849336,-0.852330018,1.259635557,-1.102569375,-1.251263474,1.483969732,0.363724524,0.153623509,0.180852212,-0.447149814,0.396566521,-0.957332932,-0.959727755,0.047836996,-0.387528627,-0.194863837
1.21599853,IV-IV,Si,M_i_A,W,0.571532674,-1.498942869,-1.016445124,-0.484156525,-0.484598764,-0.562168609,0.661959275,-0.668256509,-0.668821911,-1.529124649,-0.784929568,0.865206064,0.865533168,-0.034754757,0.754615966,1.164632523,-0.570564758,0.399141995,0.352404842,0.273606507,0.622452393,0.216475068,-0.132180885,0.275342345,0.024112368,0.897112744,0.347113011,-0.638223186,0.195625898,-0.002955152,0.149876489,0.169128195,0.217773389,0.513173101,-0.903902516,0.300237484,0.455085705,-0.140236798,-0.439789939,-0.050534004,0.784204624,-1.348177439,-0.161635174,1.622565735,1.230481973,-0.05333795,0.394366136,-0.163387859
1.10723042,II-VI,CdTe,M_A,S,0.214062382,0.707067028,-0.170100483,0.243367012,0.243095736,-0.218059837,0.797219549,-0.32860109,-0.329009325,1.146253059,-0.527598077,0.771783007,0.772037955,-0.618316648,0.359455953,1.362063874,-0.069007373,1.101242573,-0.92238924,0.701381773,0.269201362,0.674719219,2.187842171,0.390056567,0.939229965,-0.163118372,-0.018510329,0.378429297,0.234447493,0.039319344,1.2940629,0.307883099,-1.131755658,-0.852330018,-0.903172559,3.567613734,3.218006636,1.483969732,2.148312257,0.153623509,0.23736854,-1.389152142,3.717414612,0.056604025,-1.088806488,5.097709224,1.61067207,-1.133235278
1.25503957,IV-IV,SiSn,M_i_A,Sr,1.61537405,-1.771384863,-1.609597872,-0.761211537,-0.761485841,-0.823569197,1.262363002,-0.987722619,-0.988114414,0.600088555,-0.577348832,1.118380537,1.1185165,0.096039928,0.297392561,0.23846135,-1.217657656,0.620707102,0.352404842,0.736314098,-0.761417838,-0.273353002,-0.689355046,-0.296283562,0.289193659,-0.725567653,0.313738683,0.734383695,-0.240675916,0.413416344,0.208669389,-0.271937933,-0.121056656,-0.107971867,2.084214998,0.719625098,1.024344544,-1.15017564,-0.292814117,0.321846861,0.733116087,0.759164302,1.371456073,0.445378337,0.085144504,-0.324321109,-0.364705351,-1.130812012
1.54376213,III-V,GaAs,M_i_neut,Sc,-0.402510188,-0.211367615,-0.684993916,-1.020161748,-1.01872994,-1.102183089,0.378580714,-0.889118874,-0.887488315,-1.426406769,-0.953456465,0.297872573,0.296442151,0.212052684,-0.142578483,-0.181643378,-0.031144233,-0.077505422,0.137010462,0.360006168,-0.176191646,-0.240957972,0.124191829,-0.134192051,-0.124235885,-0.210171012,-0.2290583,-0.543886126,1.714102906,2.175445961,0.17790931,0.741215793,-0.64790328,0.028986114,-0.71189347,-1.113501844,-1.04300228,0.081663339,-0.220578125,0.680337461,-0.387003794,-0.391960104,-0.001154431,0.917888503,0.804889982,-0.204840452,-0.940468804,-0.052654162
2.30596602,II-VI,CdTe,M_i_B,In,0.214062382,0.707067028,-0.170100483,0.243367012,0.243095736,-0.218059837,0.797219549,-0.32860109,-0.329009325,1.146253059,-0.527598077,0.771783007,0.772037955,-0.618316648,-0.869643292,0.481648188,-0.069007373,0.469183129,-0.92238924,-0.941716943,-0.778577493,-0.642027267,-0.089807042,-0.088652966,-0.102231837,-0.898313337,-0.018510329,0.378429297,0.234447493,0.039319344,1.2940629,0.307883099,0.817999297,-0.852330018,0.946685575,-1.049858428,-1.154734253,1.483969732,-0.266038022,0.153623509,0.115740688,-0.682650396,-0.001924612,-0.553808565,-0.9369532,0.133087865,-0.771532744,-0.429456697
0.8818854,IV-IV,GeSn,M_i_neut,Tl,1.921018181,-1.771384863,-1.609619585,-0.890620088,-0.890910278,-0.823569197,1.523644176,-0.987722619,-0.988114414,0.600088555,-1.106846217,1.376149094,1.376278309,0.096039928,0.896508034,1.438027723,-1.217657656,1.180110988,1.190950896,0.483360387,0.4835914,0.609752461,-0.649411595,0.078170631,0.318865159,-0.780897846,-3.995955493,1.715906907,-1.596649734,0.152792814,0.474621418,-1.580054095,-0.123450789,-0.471896124,-0.052477981,-0.134931146,-0.221379335,0.287618387,-1.22728885,0.924896461,-0.433268048,-1.074124695,0.446953472,-1.659795765,-0.443808539,0.133087865,-0.577978617,0.822386806
2.1365433,II-VI,CdTe,M_i_neut,Cd,0.214062382,0.707067028,-0.170100483,0.243367012,0.243095736,-0.218059837,0.797219549,-0.32860109,-0.329009325,1.146253059,-0.527598077,0.771783007,0.772037955,-0.618316648,-0.561283321,0.382601423,-0.069007373,0.352457121,-0.92238924,-0.941716943,-0.475190558,-0.311678103,-0.159792867,0.71362462,0.159053109,-0.014582301,-0.018510329,0.378429297,0.234447493,0.039319344,1.2940629,0.307883099,1.147849336,-0.852330018,1.259635557,-1.133613647,-1.167795609,1.483969732,-0.16660183,0.153623509,0.111559768,-0.447149814,0.396566521,-0.980328199,-0.918289773,0.047836996,-0.2911542,-0.194863837
2.31548236,II-VI,ZnTe,M_i_B,Ti,-0.091581749,0.707067028,-0.049774182,0.449462112,0.449216136,-0.218059837,0.037128861,-0.32860109,-0.329009325,1.146253059,-0.036145388,0.02191084,0.02218542,-0.618316648,-1.075333975,0.217523482,-0.069007373,0.154362193,-1.888954333,-0.688763232,-0.571308477,-0.809891083,0.281648419,-0.618742864,-0.121619219,-0.044553816,-0.407021721,0.388654711,0.486023781,0.041899844,0.442938582,0.718901807,0.92036655,-0.416247098,1.043807983,-0.958294018,-1.133184534,0.052693012,0.435451136,0.101437638,0.422739188,1.436854843,-0.283085606,0.723535935,-0.127627974,-0.125252652,-0.563167797,1.681879043
