(+2/+1),Type,AB,Site,M,abs(Valence.3-Valence.2),Elec_Aff.3-CM2,Electronegativity.3+Electronegativity,abs(Therm_cond.3-Ion_pot_1.2),Electronegativity.3+Ion_pot_2.2,Heat_vap.1/Electronegativity.3,abs(Ion_pot_1.3-MP),abs(Ion_Energy.3-Therm_cond.2),Electronegativity.2+At_rad_2.1,Elec_cond/Elec_Aff.3,Elec_Aff.2-At_wt.2,Ox_state.2+At_rad_1.2,abs(Ox_state.3-Ox_state.2),abs(Density.3-CM1),abs(Density.2-CM1),abs(Period.3-At_wt.2),abs(Elec_cond.3-At_vol.3),abs(Ion_Energy.3-Ion_Energy.2),abs(At_vol.3-CM4),abs(At_vol.3-Density.2),abs(Elec_Aff.3-Valence.2),abs(Ion_pot_2.3-Ion_pot_2.2),abs(At_vol.3-CM6),abs(Ion_rad.3-CM5),Elec_Aff.3*Mend_num,At_wt.1+Heat_vap,Elec_cond.2+CM1,Thermal_expn.1/CM8,Valence.3/Ion_pot_2.2,Valence.3/Ion_pot_2.3,Ox_state.3/CM1,abs(At_wt.3-CM2),Valence.3/Ox_state.2,abs(Group.3-Elec_Aff.2),Thermal_expn.1/Eps_ion,abs(At_vol.3-At_rad_2.1),abs(ICSD_vol.3-At_vol.2),abs(Elec_cond.3-Density.2),abs(Elec_cond.2-Elec_Aff),abs(Elec_cond.2-Electronegativity),Thermal_expn.3^-1,Ox_state.3-CM1,At_wt.1-Ion_pot_1,abs(Group.3-Density.1),abs(Mend_num.3-Density.1),At_vol.1+Heat_vap,ICSD_vol.1+Heat_vap,abs(BP.3-Group.2),abs(Heat_fusion.3-Mend_num.2),abs(Heat_fusion.3-Group.2),abs(BP.3-Mend_num.2),At_rad_1.1-Cov_rad.1,abs(Elec_Aff.3-ICSD_vol.1),At_vol.1+Electronegativity,abs(Mend_num.2-MP.2),Ion_Energy.3+Elec_cond.2,Electronegativity.3-Ox_state.2,Heat_vap.2/Ion_pot_1.3,abs(Mend_num.3-At_rad_1.1),Mend_num.3*Elec_Aff.3,Ion_rad.2/Ion_pot_1.3,At_wt.3-Density.2,abs(Ion_pot_2.3-Therm_cond.1),abs(CM4-Ion_pot_2),Electronegativity.3-Ion_pot_1.1,Electronegativity.3-Ion_Energy.1,Heat_fusion/Elec_cond.2,Elec_cond.2+CM8,ICSD_vol.2+Ox_state.1,abs(Density.2-BP),abs(Density.2-Sp_heat_cap),Thermal_expn.1/Ion_rad,abs(Density.2-Ion_pot_2.1),Heat_fusion.2+Ox_state.1,Ox_state.3/Electronegativity.2,Sp_heat_cap.1-Ion_pot_2,Ion_pot_1.1-Ion_pot_2,Ion_Energy.1-Ion_pot_2
0.66769903,II-VI,CdS,M_i_A,Al,-0.541773581,-0.271234235,-0.727227816,1.337491068,-0.089354903,0.250445053,-1.105570703,1.502341782,-0.442709026,-0.18698336,-0.761632718,-0.251463649,-0.746699476,-0.603672405,-0.421172233,-0.756736312,1.280349173,-0.518087371,-1.066068632,-0.7071452,-0.772921945,-0.709432543,-0.628147888,-0.617456924,0.328253794,-1.451969614,1.234769893,2.119669865,0.014512424,0.040164122,0.536855439,-0.442853495,-0.148248877,0.438592022,-1.059592883,-1.131801081,-0.493381209,1.89625844,2.156394591,1.890657661,-0.262600964,-0.278413274,1.237967785,0.600557939,0.366302209,-0.995113869,-0.758527629,-0.507810843,-0.132542779,0.032851795,-0.693621439,-1.578021871,-0.487142182,-0.578876649,-0.113547672,1.108049889,0.123764694,-1.374954719,-0.566631075,-0.560731182,0.405365136,0.206487074,-0.224482306,-0.988072964,0.11734303,0.117199238,-1.713959689,0.849461767,1.191931538,-0.632734384,-1.213677966,-1.946847141,0.15587366,1.428808679,0.432003377,-0.908132819,-0.523226045,-0.523121319
0.27454292,II-VI,CdO,M_A,Ru,1.135029587,-0.657214719,0.356143373,-0.378648677,0.671551045,-1.002139059,-0.667126878,0.479177814,-0.776427632,0.793359781,-0.33900374,-0.488357139,1.920471384,0.325782137,-0.800552128,0.659969504,0.033975223,1.020656847,0.500543872,0.755176869,0.361026599,0.591165333,-0.639308573,0.511763737,-1.193591213,-1.724622959,0.825370189,0.289626903,0.043152416,0.126412779,-0.29454037,0.963813548,-0.162923618,0.012300812,0.506864687,-0.55292579,-0.041578245,-0.032770597,0.409750588,0.119063798,0.126120813,-0.329290058,1.49588596,1.424349967,1.228256907,-1.300362466,-1.742293184,0.992471075,-0.187820978,-0.055973025,0.930477465,2.759046375,0.931138726,-0.923130202,-0.187287821,-0.365596048,-0.892733903,0.041553035,2.124366712,0.641216604,0.794483855,2.282164815,0.176082077,-0.157854881,0.209243426,0.209096549,-0.336154613,-0.124152023,-1.861233397,1.425883988,0.887855162,0.239675712,0.47220721,-0.780876264,-0.123679815,-1.433976365,-1.744960784,-1.745012468
0.76905356,II-VI,CdO,M_i_A,Pb,-0.742786022,2.147744563,0.00292167,-0.73024723,0.253483759,-0.596412574,-0.566001823,-0.675759177,-0.633360083,0.197081975,0.956268511,-0.115271051,-0.486986371,-0.342736757,-0.174155913,0.894020821,-0.6675317,-0.734180426,2.523522642,-0.511102722,-0.80117895,-0.580543407,-0.466140202,0.008592819,-0.267953685,-1.724622959,-0.230562123,0.286215864,-1.424356551,-1.042867168,-0.30485182,1.7532429,-2.409815731,-0.411747946,0.506864687,0.815597118,-0.553843166,0.070348282,-0.363982062,-0.665721202,-0.351680653,0.4569226,1.49588596,1.130104807,1.002268233,-1.300362466,-1.742293184,0.163846609,0.691464958,0.720708872,0.14228478,2.759046375,-0.044827616,-0.923130202,0.782143132,-0.297178162,-1.092831935,0.161703945,1.908290261,-0.187606006,0.072315053,-0.812612185,-0.59656888,2.760785665,0.511895084,0.511751672,0.274188863,-0.695107234,-1.139620508,1.208739134,0.666183622,0.239675712,0.68465639,-1.800701094,-0.157064052,-1.433976365,-1.744960784,-1.745012468
-0.33362962,II-VI,CdTe,M_B,Tc,2.280240594,1.319630328,0.021065437,-0.503021911,0.28506255,-0.960340146,-0.037827353,-0.376591016,0.613710541,-0.875625776,-0.080108925,1.929169162,0.72221598,-0.985642207,0.199474937,0.766672715,0.709138749,0.550047765,1.59906246,1.203732116,2.74696254,0.359448995,0.968462403,0.961959313,1.397274404,0.169261051,-0.691864776,0.040038574,-0.225094562,0.20282729,-0.306320736,2.000353818,1.652509521,0.967792148,-0.093246089,1.423840124,1.571246376,-0.196959727,-0.731619982,-1.03861063,0.463088104,-1.786611005,-0.295645731,1.454795673,1.49670356,0.022381454,0.201814937,0.105343476,-0.710165675,-0.472953671,-0.106903497,-0.3566514,1.895664604,0.568635194,-0.235503165,-0.195205459,1.547727419,0.205029563,1.643953382,0.941530904,-0.138151229,2.426549811,-0.185927087,0.186680226,-0.946853039,-0.947138522,0.564192659,-0.219540489,-0.383348732,1.240672201,0.698782378,-0.746512631,0.195729625,0.56430083,-0.131668785,0.36390776,-0.016607373,-0.016280622
-0.13631225,II-VI,CdTe,M_B,V,1.878215713,0.822226493,-0.252740621,-0.480597067,0.01274185,-0.489703892,-0.241580637,-0.337139119,0.316570247,-0.993799725,-0.50625679,0.674155378,0.20278977,-0.193288501,-0.908394339,0.461458446,0.947424577,0.631533181,0.636353466,0.281942244,1.46926693,0.382136896,0.319430798,0.083662098,1.580722859,0.169261051,-0.543018863,0.575964092,0.343839477,0.019239214,-0.310126551,1.683131483,-0.894590925,1.173340423,-0.093246089,1.399306675,1.657401945,-0.510867579,-0.425267817,-0.727882391,0.461011817,-0.973748776,-0.295645731,1.837919344,1.756064319,0.022381454,0.201814937,-0.034560455,-0.394910776,-0.000750539,-0.403024786,-0.3566514,2.089087528,0.568635194,-0.353468249,-0.119453594,0.741599148,0.190564432,1.891938166,1.382257137,-0.023490031,2.026922049,-0.245666006,-0.637936898,-0.712247248,-0.712530044,0.322532901,-0.49729277,-0.401057024,0.093210668,-0.472599583,-0.746512631,-0.926918492,0.554471193,-0.136934476,0.36390776,-0.016607373,-0.016280622
-0.54445129,II-VI,CdTe,M_B,Rh,2.079228153,1.077391147,0.40642211,0.401487087,0.806891436,-1.622717095,0.030090408,-0.484309873,1.031907992,-0.580190903,-0.390692951,-0.443234569,-0.31663644,-0.825624426,0.394009785,0.958599619,2.226903117,0.521841275,1.709669372,1.37007171,1.44201568,0.254563946,1.047725776,0.873161238,0.938653266,0.169261051,0.546905633,-0.013553977,0.28715292,-2.740346896,-0.285960627,2.027611807,-0.057681892,1.282124293,-0.093246089,1.441364017,1.798427295,-0.492914025,1.030268852,0.748445828,0.462046118,-0.024010759,-0.295645731,1.071672001,1.274394337,0.022381454,0.201814937,-0.684798513,-1.08665923,-1.053038715,-0.754344957,-0.3566514,1.412107293,0.568635194,-0.894403087,1.095719994,-0.939909115,0.215623331,1.431394997,0.32584732,-0.305935311,2.54222275,0.090242994,0.269141938,-1.277038968,-1.277328231,-0.825637996,1.075489935,-0.502879701,1.434399473,0.896548163,-0.746512631,0.385267619,0.503357081,-0.193388442,0.36390776,-0.016607373,-0.016280622
1.11862658,II-VI,CdTe,M_i_B,Zr,-0.742786022,0.321533206,-1.011174839,-0.912231188,-0.729591397,0.813943815,-0.971999106,-0.729975564,-0.013585636,-0.157439873,-0.01462573,0.717846708,-0.537634526,-0.872359984,-0.881453873,-0.19832824,-0.835565238,-0.647210415,-1.027163525,-1.035714929,-0.852005494,-0.509950562,-0.004761564,-0.841456697,0.28239168,0.169261051,-0.596028362,-0.558046973,-2.272853002,-1.695642162,-0.312473081,-0.500756475,1.973303584,-0.631046391,-0.093246089,-0.33028465,-0.550330678,-0.754026719,-0.555500045,-0.859974915,-0.112594276,-0.651821135,-0.295645731,0.585865004,0.057233054,0.022381454,0.201814937,0.624314431,-0.600547912,-0.05566323,0.1570179,-0.3566514,0.720163417,0.568635194,-0.305658999,-0.581933547,0.921701326,0.104390353,0.267620347,-0.424699613,1.393583852,-0.002326123,-0.857298383,-0.761629466,-0.062396541,-0.062671897,0.425263981,0.456639488,0.015087832,0.178365512,-0.385669567,-0.746512631,-0.843605088,0.466004461,-0.152509906,0.36390776,-0.016607373,-0.016280622
0.52033823,II-VI,CdTe,M_i_B,W,-0.377836717,1.172113923,0.033344565,-0.087067528,0.41825943,-0.981446337,-0.353192838,0.124982082,1.11994956,-0.098352898,1.041745131,1.370474189,-0.018208317,1.369546991,1.845457423,-0.019544203,0.045545994,-0.798751266,0.029526461,1.425561026,0.536706625,-0.653888554,2.113658167,-0.378991309,0.190667453,0.169261051,0.352154471,-2.045823571,0.011310559,0.043837413,-0.30589604,-0.555718067,0.395667145,-1.009888139,-0.093246089,0.070136298,-0.491051081,0.780498362,0.662554325,0.375478699,-0.105898787,-1.433903049,-0.295645731,0.202741332,-0.202127706,0.022381454,0.201814937,0.927104151,0.153401841,0.535969172,0.626048538,-0.3566514,0.623451954,0.568635194,1.679030451,0.573681242,1.004689603,0.176303214,0.019635564,-0.453087556,0.016770249,1.247911672,-0.478299015,-0.060704911,-0.957374189,-0.957659792,-0.535573769,2.690076072,-0.312515565,2.901191674,2.393917682,-0.746512631,1.820341,1.173738319,-0.12468139,0.36390776,-0.016607373,-0.016280622
0.38416267,IV-IV,Si,M_i_neut,Sr,-0.34076114,1.030684089,-0.476966588,-0.840229076,-1.200558138,-0.551688693,0.483955003,-0.903884709,-0.387100124,0.683984587,1.556566661,0.787180341,-0.486986371,-0.601012504,-0.412911797,-0.057322315,0.583353901,-0.474053905,0.854933139,0.982021176,0.068425775,-0.431844674,0.854389669,0.154278977,-2.229550624,-0.117636588,-0.533955713,0.741335403,0.400635463,0.339687934,-0.293555483,-0.728962817,0.070433058,1.092999287,0.89398521,-0.602452682,-0.579817551,-0.336489042,1.091248492,-0.300718945,-0.254925525,0.143925851,0.929026348,-1.092667287,-0.680136376,-0.075889999,0.239005818,-0.881913827,0.13442031,-0.527426839,-0.321751606,-0.477572499,0.69997421,-0.230416998,-0.124443105,-0.734153255,0.220238055,0.283796681,0.406632061,1.760647679,-0.25268683,-0.78921128,4.273665746,-0.801619962,-0.000873508,-0.001222622,-0.089399553,-0.661798681,1.467167755,-0.072236737,0.499946334,0.794413811,-1.191821517,-0.163092302,-0.098135819,-1.028009762,0.151801439,0.15223962
1.10504127,II-VI,CdS,M_i_A,Be,-0.34076114,1.151503388,-0.767791677,-0.373384039,-0.166900812,0.299300166,0.153171804,-0.039079705,-0.48672981,-1.870962138,1.130644289,-1.536631993,-0.486986371,-0.49789702,-0.283958973,-0.716277874,0.858167001,-0.595977941,-1.055933712,-0.915591102,0.867744641,-0.698929616,-0.908873331,-0.447035918,2.94239428,-1.451969614,0.521486411,2.280395111,0.069734614,0.085115509,-0.292976181,-0.728794413,0.070433058,2.340712298,-1.059592883,-0.693703764,-0.467563873,1.191495216,1.183483238,0.903848799,-0.148466723,0.127874645,1.237967785,-1.229759499,0.143992987,-0.995113869,-0.758527629,0.132449442,-0.491718231,-0.264464675,-1.296987967,-1.578021871,2.269134492,-0.578876649,-1.346767021,1.290058596,-0.36969194,1.22177008,-0.77918946,-1.481296575,-0.154534392,0.310753686,-0.284906753,-0.890277214,0.152099443,0.151956049,-0.94649809,0.099277204,0.815630338,-0.813688429,-1.192365821,-1.946847141,0.332914643,1.478448345,-0.124610822,-0.908132819,-0.523226045,-0.523121319
